fixture_id,syntax_class,source_mode,quality_control,chroma_sampling,progressive_control,restart_interval_control,jpeg_file,reference_png_file,source_pixels_sha256,jpeg_sha256,jpeg_size_bytes,reference_bgr_sha256,reference_png_sha256,width,height,frame_marker,frame_process,precision_bits,component_count,component_signature,quantization_fingerprint,scan_count,restart_interval,restart_marker_count,jfif_present,adobe_transform,generator_adapter,generator_wrapper_version,generator_jpeg_backend,reference_decoder
cmyk_baseline,baseline_cmyk,CMYK,75,cmyk,0,0,cmyk_baseline.jpg,cmyk_baseline.reference.png,4c072ec781a351ccf482f037d5b048bb3f7fc5062663f1a1af86f85f8df0f8b2,bb9c66007679d9ab57212220966b56071bf05ecff590860f389f1850ed0d1aa8,2827,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,10b3857aaae94ce70505a0a687c5179805467a29f2d7dd6c4bef742befab02e4,128,128,0xc0,baseline_sequential,8,4,67:1x1:q0;77:1x1:q0;89:1x1:q0;75:1x1:q0,9cc40cc6fb4b102aad275ef8a8e85091dc5e23443883107e36defed8ccd0204d,1,0,0,0,0,pillow_cmyk,12.3.0,libjpeg-turbo 3.1.4.1,opencv_bgr
cmyk_progressive,progressive_cmyk,CMYK,75,cmyk,1,0,cmyk_progressive.jpg,cmyk_progressive.reference.png,4c072ec781a351ccf482f037d5b048bb3f7fc5062663f1a1af86f85f8df0f8b2,5905784f370d1c40cabb7cfc7f2320c4b3eb416aa83a13674a415b63e3960345,2410,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,10b3857aaae94ce70505a0a687c5179805467a29f2d7dd6c4bef742befab02e4,128,128,0xc2,progressive_dct,8,4,67:1x1:q0;77:1x1:q0;89:1x1:q0;75:1x1:q0,9cc40cc6fb4b102aad275ef8a8e85091dc5e23443883107e36defed8ccd0204d,18,0,0,0,0,pillow_cmyk,12.3.0,libjpeg-turbo 3.1.4.1,opencv_bgr
grayscale_baseline,baseline_grayscale,L,75,grayscale,0,0,grayscale_baseline.jpg,grayscale_baseline.reference.png,75e9d76d01e5bb195ff369d375c6ea67727c3ded77d2096f6d54784c1ec2b6d9,6d44d1c82a6e4f3b6ae4ee8d62623e5bdad559797d5781ce44eef461c4b4e744,1058,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,530a5120ed27aa20ba0ef7c7f0717da7192d8deee9231d6b52cf286bf2dbb39e,128,128,0xc0,baseline_sequential,8,1,1:1x1:q0,9cc40cc6fb4b102aad275ef8a8e85091dc5e23443883107e36defed8ccd0204d,1,0,0,1,none,opencv,4.13.0,build-libjpeg-turbo (ver 3.1.2-70),opencv_bgr
grayscale_progressive,progressive_grayscale,L,75,grayscale,1,0,grayscale_progressive.jpg,grayscale_progressive.reference.png,75e9d76d01e5bb195ff369d375c6ea67727c3ded77d2096f6d54784c1ec2b6d9,2a704094f3e9806b9dfe1dedebbf06d9118828511e6326e12a64e21c81d919bf,941,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,530a5120ed27aa20ba0ef7c7f0717da7192d8deee9231d6b52cf286bf2dbb39e,128,128,0xc2,progressive_dct,8,1,1:1x1:q0,9cc40cc6fb4b102aad275ef8a8e85091dc5e23443883107e36defed8ccd0204d,6,0,0,1,none,pillow,12.3.0,libjpeg-turbo 3.1.4.1,opencv_bgr
rgb_baseline_420,baseline_rgb_420,BGR,75,420,0,0,rgb_baseline_420.jpg,rgb_baseline_420.reference.png,d5429621f8ab1f8cb0f31d3d2f72afbb83d061999fef13abf7f017e88ab79e81,7e18baefd75b05e4aaab4a38aa639f573c74df020d56de96fe5609e8fd59bfa7,2251,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,fcd4833af43b76a7b044184d1d3411c587aee862cbd96edef0b35ebb6d1c807b,128,128,0xc0,baseline_sequential,8,3,1:2x2:q0;2:1x1:q1;3:1x1:q1,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,1,0,0,1,none,opencv,4.13.0,build-libjpeg-turbo (ver 3.1.2-70),opencv_bgr
rgb_baseline_444,baseline_rgb,BGR,75,444,0,0,rgb_baseline_444.jpg,rgb_baseline_444.reference.png,d5429621f8ab1f8cb0f31d3d2f72afbb83d061999fef13abf7f017e88ab79e81,e9ad937ffeb270d034cafaa94248518dde99cd281844fb7835b7ec5c64c83973,3539,c73d26cf514e3bbb3a83dde4e1d0db35c98ecbc2557ead749555b1874c095f73,0ff7b2452fa7e70675768d8f27df8103381f1df0fcf9e632b88492002a8733a6,128,128,0xc0,baseline_sequential,8,3,1:1x1:q0;2:1x1:q1;3:1x1:q1,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,1,0,0,1,none,opencv,4.13.0,build-libjpeg-turbo (ver 3.1.2-70),opencv_bgr
rgb_progressive_420,progressive_rgb_420,BGR,75,420,1,0,rgb_progressive_420.jpg,rgb_progressive_420.reference.png,d5429621f8ab1f8cb0f31d3d2f72afbb83d061999fef13abf7f017e88ab79e81,f74ab682582d3d1f7a34aa96ead470191fed2d66a03d96c3d1ed5d5ae7ee84fb,2043,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,fcd4833af43b76a7b044184d1d3411c587aee862cbd96edef0b35ebb6d1c807b,128,128,0xc2,progressive_dct,8,3,1:2x2:q0;2:1x1:q1;3:1x1:q1,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,10,0,0,1,none,pillow,12.3.0,libjpeg-turbo 3.1.4.1,opencv_bgr
rgb_progressive_444,progressive_rgb,BGR,75,444,1,0,rgb_progressive_444.jpg,rgb_progressive_444.reference.png,d5429621f8ab1f8cb0f31d3d2f72afbb83d061999fef13abf7f017e88ab79e81,b45c13e2cb979c0de65fe9d6be810bb7027e31c4ee7c70f68272411f5af94134,3244,c73d26cf514e3bbb3a83dde4e1d0db35c98ecbc2557ead749555b1874c095f73,0ff7b2452fa7e70675768d8f27df8103381f1df0fcf9e632b88492002a8733a6,128,128,0xc2,progressive_dct,8,3,1:1x1:q0;2:1x1:q1;3:1x1:q1,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,10,0,0,1,none,opencv,4.13.0,build-libjpeg-turbo (ver 3.1.2-70),opencv_bgr
rgb_progressive_restart_420,progressive_restart_rgb,BGR,75,420,1,4,rgb_progressive_restart_420.jpg,rgb_progressive_restart_420.reference.png,d5429621f8ab1f8cb0f31d3d2f72afbb83d061999fef13abf7f017e88ab79e81,2cbfaced58c2db3665006a03ee6920a27c848650f30863cee81577996af23708,2962,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,fcd4833af43b76a7b044184d1d3411c587aee862cbd96edef0b35ebb6d1c807b,128,128,0xc2,progressive_dct,8,3,1:2x2:q0;2:1x1:q1;3:1x1:q1,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,10,4,342,1,none,pillow,12.3.0,libjpeg-turbo 3.1.4.1,opencv_bgr
rgb_restart_420,restart_rgb,BGR,75,420,0,4,rgb_restart_420.jpg,rgb_restart_420.reference.png,d5429621f8ab1f8cb0f31d3d2f72afbb83d061999fef13abf7f017e88ab79e81,d3a07fb8e92712d8284327c8d94905f70ff3cb96777de12d01e0893c03d60bb1,2301,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,fcd4833af43b76a7b044184d1d3411c587aee862cbd96edef0b35ebb6d1c807b,128,128,0xc0,baseline_sequential,8,3,1:2x2:q0;2:1x1:q1;3:1x1:q1,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,1,4,15,1,none,opencv,4.13.0,build-libjpeg-turbo (ver 3.1.2-70),opencv_bgr
