control_id,file_name,source_bytes,source_sha256,generator,binding_distribution_version
plain_block,graph_plain_block.step,15390,1e7a3ecda9402ee740bf40fbae47a384f4c8bbf6dd5a131bc8f2b06b1bcea0e3,experiments/run_face_adjacency_graphs.py,7.9.3.1.1
through_hole,graph_through_hole.step,19001,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,experiments/run_face_adjacency_graphs.py,7.9.3.1.1
stepped_block,graph_stepped_block.step,22389,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,experiments/run_face_adjacency_graphs.py,7.9.3.1.1
fillet_operation,graph_fillet_operation.step,19982,c10fee8a84fc0205bc5afd8dfbb089f8f41d0e2c1fe6e19cb2b29020729b5758,experiments/run_face_adjacency_graphs.py,7.9.3.1.1
