pattern,blur_sigma,blurred_tiles,area_fraction,placement,tile_row,tile_column,is_blurred,metric,reference_score,observed_score,score_ratio
checkerboard,1,1,0.0625,center,0,0,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,1,0.0625,center,0,1,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,1,0.0625,center,0,2,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,1,0.0625,center,0,3,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,1,0.0625,center,1,0,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,1,0.0625,center,1,1,1,laplacian_variance,34671.533203,2603.626953,0.075094
checkerboard,1,1,0.0625,center,1,2,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,1,0.0625,center,1,3,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,1,0.0625,center,2,0,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,1,0.0625,center,2,1,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,1,0.0625,center,2,2,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,1,0.0625,center,2,3,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,1,0.0625,center,3,0,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,1,0.0625,center,3,1,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,1,0.0625,center,3,2,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,1,0.0625,center,3,3,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,1,0.0625,center,0,0,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,1,0.0625,center,0,1,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,1,0.0625,center,0,2,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,1,0.0625,center,0,3,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,1,0.0625,center,1,0,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,1,0.0625,center,1,1,1,tenengrad_energy,380497.851562,157658.806641,0.414349
checkerboard,1,1,0.0625,center,1,2,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,1,0.0625,center,1,3,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,1,0.0625,center,2,0,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,1,0.0625,center,2,1,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,1,0.0625,center,2,2,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,1,0.0625,center,2,3,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,1,0.0625,center,3,0,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,1,0.0625,center,3,1,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,1,0.0625,center,3,2,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,1,0.0625,center,3,3,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,4,0.2500,edge,0,0,1,laplacian_variance,34671.533203,2230.124007,0.064321
checkerboard,1,4,0.2500,edge,0,1,1,laplacian_variance,34671.533203,2421.635742,0.069845
checkerboard,1,4,0.2500,edge,0,2,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,4,0.2500,edge,0,3,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,4,0.2500,edge,1,0,1,laplacian_variance,34671.533203,2421.635742,0.069845
checkerboard,1,4,0.2500,edge,1,1,1,laplacian_variance,34671.533203,2603.626953,0.075094
checkerboard,1,4,0.2500,edge,1,2,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,4,0.2500,edge,1,3,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,4,0.2500,edge,2,0,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,4,0.2500,edge,2,1,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,4,0.2500,edge,2,2,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,4,0.2500,edge,2,3,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,4,0.2500,edge,3,0,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,4,0.2500,edge,3,1,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,4,0.2500,edge,3,2,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,4,0.2500,edge,3,3,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,4,0.2500,edge,0,0,1,tenengrad_energy,380497.851562,159385.361816,0.418886
checkerboard,1,4,0.2500,edge,0,1,1,tenengrad_energy,380497.851562,158546.754883,0.416682
checkerboard,1,4,0.2500,edge,0,2,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,4,0.2500,edge,0,3,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,4,0.2500,edge,1,0,1,tenengrad_energy,380497.851562,158546.754883,0.416682
checkerboard,1,4,0.2500,edge,1,1,1,tenengrad_energy,380497.851562,157658.806641,0.414349
checkerboard,1,4,0.2500,edge,1,2,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,4,0.2500,edge,1,3,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,4,0.2500,edge,2,0,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,4,0.2500,edge,2,1,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,4,0.2500,edge,2,2,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,4,0.2500,edge,2,3,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,4,0.2500,edge,3,0,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,4,0.2500,edge,3,1,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,4,0.2500,edge,3,2,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,4,0.2500,edge,3,3,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,4,0.2500,center,0,0,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,4,0.2500,center,0,1,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,4,0.2500,center,0,2,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,4,0.2500,center,0,3,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,4,0.2500,center,1,0,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,1,4,0.2500,center,1,1,1,laplacian_variance,34671.533203,2603.626953,0.075094
