fixture,category,condition,expected_decision,observed_decision,expectation_met,expected_reason_code,reason_code,syntax_status,symbol_count,reference_count,resolved_reference_count,unresolved_reference_count,ambiguous_reference_count,invalid_kind_reference_count,type_count,resolved_type_count,cyclic_type_count,entity_count,resolved_inheritance_count,cyclic_inheritance_count,aggregate_bound_count,resolved_bound_count,deferred_bound_count,diagnostic_count,expression_validation,rule_execution,external_schema_loading,source_sha256
wrong_kind_type_alias,types,entity used as defined-type alias target,reject,reject,1,invalid_kind_reference,invalid_kind_reference,parsed,3,2,1,0,0,1,1,0,0,1,1,0,0,0,0,1,envelope_only,not_attempted,not_attempted,612aabebbcf151b20a0fab75fb6724c0aee9ed335a17691a9edd5b990ae9d255
missing_select_member,types,unresolved select member,reject,reject,1,unresolved_reference,unresolved_reference,parsed,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,envelope_only,not_attempted,not_attempted,8c95f4031e247fbc91e09b2caf60d7a6f74884b173900f86d6d0d554ede19f25
missing_import_schema,interfaces,interface schema absent from document,reject,reject,1,unresolved_interface_schema,unresolved_interface_schema,parsed,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,envelope_only,not_attempted,not_attempted,a41edca9865bb6fe2d4e7933de4b224e8948b8f9f681b29d16f9887de0844f13
missing_import_item,interfaces,interface item absent from source schema,reject,reject,1,unresolved_interface_item,unresolved_interface_item,parsed,3,2,1,1,0,0,0,0,0,1,1,0,0,0,0,1,envelope_only,not_attempted,not_attempted,cf50eb7927f21d2d0362d6b09724d50ae1dd0fe5abf59b0dbafbed9385d73582
invalid_use_kind,interfaces,USE attempts to import a function,reject,reject,1,invalid_use_item_kind,invalid_use_item_kind,parsed,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,envelope_only,not_attempted,not_attempted,a6267eac4cd9376ea14382fd847bc6963e1bf1d9df31ad8b8c9ef965350e0120
import_collision,interfaces,two imported declarations share one visible name,reject,reject,1,ambiguous_visible_name,ambiguous_visible_name,parsed,6,4,3,0,1,0,2,2,0,1,1,0,0,0,0,2,envelope_only,not_attempted,not_attempted,a8ab8e41ef9d0a5aa0f8d27cab4127141758ffa6a2734b047b3fddd4ac70e380
alias_cycle,types,two-node type alias cycle,reject,reject,1,type_alias_cycle,type_alias_cycle,parsed,3,4,4,0,0,0,2,0,2,0,0,0,0,0,0,1,envelope_only,not_attempted,not_attempted,6e703e4b80809f02fd9338514604018a62c8550818c1e5ba266efe54672b9ea5
missing_supertype,inheritance,unresolved entity supertype,reject,reject,1,unresolved_reference,unresolved_reference,parsed,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,envelope_only,not_attempted,not_attempted,8c3614e9589f05d50c99d46bb37e6a6cfd54ae20d7ec1cbe357c34055b35588a
wrong_supertype_kind,inheritance,defined type used as entity supertype,reject,reject,1,invalid_kind_reference,invalid_kind_reference,parsed,3,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,envelope_only,not_attempted,not_attempted,381763dc2ce035137f94da785390680b798eef1d3480848a23dba5b91b65c969
inheritance_cycle,inheritance,two-node entity inheritance cycle,reject,reject,1,inheritance_cycle,inheritance_cycle,parsed,3,2,2,0,0,0,0,0,0,2,0,2,0,0,0,1,envelope_only,not_attempted,not_attempted,10077dbeadb108e9e553b67a706bc5de73a2c4feee1d656ca1f1eb23d3f8cb11
unqualified_redeclaration,inheritance,inherited name hidden without SELF qualification,reject,reject,1,unqualified_attribute_redeclaration,unqualified_attribute_redeclaration,parsed,3,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,envelope_only,not_attempted,not_attempted,16f5f57ad3597e8c502a159a27be98ccd5b4452fc7c247602d796762edd447f3
inherited_collision,inheritance,multiple inherited attributes share a name,reject,reject,1,inherited_attribute_ambiguity,inherited_attribute_ambiguity,parsed,4,2,2,0,0,0,0,0,0,3,2,0,0,0,0,1,envelope_only,not_attempted,not_attempted,363ef4b4dd7d0548db83b04c6b0b0f168c560ed98158a09bf9a567f0457cce44
invalid_qualified_redeclaration,inheritance,qualified redeclaration names missing ancestor attribute,reject,reject,1,invalid_attribute_redeclaration,invalid_attribute_redeclaration,parsed,3,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,envelope_only,not_attempted,not_attempted,6e364e85d365e1fe1f06c2f6697c2af0967dd275d71d9e8b364f9832d76987c6
inverse_missing_forward,inheritance,inverse names absent forward attribute,reject,reject,1,unresolved_inverse_attribute,unresolved_inverse_attribute,parsed,3,3,2,1,0,0,0,0,0,2,2,0,1,1,0,1,envelope_only,not_attempted,not_attempted,cafdd6312245c6599382de2d75c4a609ad11f5d6a13cf83a617f5e2bc4d882e3
invalid_bound_order,bounds,aggregate lower bound exceeds upper bound,reject,reject,1,invalid_aggregate_bound_order,invalid_aggregate_bound_order,parsed,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,envelope_only,not_attempted,not_attempted,ff3b09c3ea8f7e42ae238bfef3b42cf0c948435f63dfa09a34b71b70515283be
missing_bound_constant,bounds,aggregate bound constant is unresolved,reject,reject,1,unresolved_reference,unresolved_reference,parsed,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,envelope_only,not_attempted,not_attempted,655d549621b5795e67fae28f37ff7ed97966ce79e1d234a37ddcb3f28f39fdb9
symbol_limit,resources,semantic symbol budget exceeded,quarantine,quarantine,1,symbol_count_limit,symbol_count_limit,parsed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,envelope_only,not_attempted,not_attempted,8245da1e37cf1e7e25d573dd4926537bbc25f95174ac4aa11eca7b737cc46c99
