platform_label,stage,control_id,vertex_index,x,y,z,incident_edge_count,incident_face_count,link_arc_count,link_component_count,degree_one_count,maximum_degree,classification
linux-x64-reference,step_imported,disjoint_boxes,7,4,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,disjoint_boxes,8,4,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,disjoint_boxes,9,5,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,disjoint_boxes,10,5,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,disjoint_boxes,11,5,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,disjoint_boxes,12,5,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,disjoint_boxes,13,9,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,disjoint_boxes,14,9,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,disjoint_boxes,15,9,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,disjoint_boxes,16,9,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,vertex_touching_boxes,1,0,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,vertex_touching_boxes,2,0,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,vertex_touching_boxes,3,0,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,vertex_touching_boxes,4,0,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,vertex_touching_boxes,5,4,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,vertex_touching_boxes,6,4,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,vertex_touching_boxes,7,4,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,vertex_touching_boxes,8,4,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,vertex_touching_boxes,9,4,4,8,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,vertex_touching_boxes,10,4,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,vertex_touching_boxes,11,4,8,8,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,vertex_touching_boxes,12,4,8,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,vertex_touching_boxes,13,8,4,8,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,vertex_touching_boxes,14,8,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,vertex_touching_boxes,15,8,8,8,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,vertex_touching_boxes,16,8,8,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,vertex_touching_boxes,1,0,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,vertex_touching_boxes,2,0,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,vertex_touching_boxes,3,0,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,vertex_touching_boxes,4,0,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,vertex_touching_boxes,5,4,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,vertex_touching_boxes,6,4,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,vertex_touching_boxes,7,4,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,vertex_touching_boxes,8,4,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,vertex_touching_boxes,9,4,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,vertex_touching_boxes,10,4,4,8,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,vertex_touching_boxes,11,4,8,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,vertex_touching_boxes,12,4,8,8,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,vertex_touching_boxes,13,8,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,vertex_touching_boxes,14,8,4,8,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,vertex_touching_boxes,15,8,8,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,vertex_touching_boxes,16,8,8,8,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,edge_touching_boxes,1,0,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,edge_touching_boxes,2,0,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,edge_touching_boxes,3,0,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,edge_touching_boxes,4,0,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,edge_touching_boxes,5,4,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,edge_touching_boxes,6,4,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,edge_touching_boxes,7,4,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,edge_touching_boxes,8,4,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,edge_touching_boxes,9,4,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,edge_touching_boxes,10,4,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,edge_touching_boxes,11,4,8,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,edge_touching_boxes,12,4,8,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,edge_touching_boxes,13,8,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,edge_touching_boxes,14,8,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,edge_touching_boxes,15,8,8,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,edge_touching_boxes,16,8,8,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,edge_touching_boxes,1,0,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,edge_touching_boxes,2,0,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,edge_touching_boxes,3,0,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,edge_touching_boxes,4,0,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,edge_touching_boxes,5,4,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,edge_touching_boxes,6,4,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,edge_touching_boxes,7,4,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,edge_touching_boxes,8,4,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,edge_touching_boxes,9,4,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,edge_touching_boxes,10,4,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,edge_touching_boxes,11,4,8,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,edge_touching_boxes,12,4,8,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,edge_touching_boxes,13,8,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,edge_touching_boxes,14,8,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,edge_touching_boxes,15,8,8,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,edge_touching_boxes,16,8,8,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,face_touching_boxes,1,0,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,face_touching_boxes,2,0,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,face_touching_boxes,3,0,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,face_touching_boxes,4,0,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,face_touching_boxes,5,4,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,face_touching_boxes,6,4,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,face_touching_boxes,7,4,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,face_touching_boxes,8,4,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,face_touching_boxes,9,4,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,face_touching_boxes,10,4,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,face_touching_boxes,11,4,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,face_touching_boxes,12,4,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,face_touching_boxes,13,8,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,face_touching_boxes,14,8,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,face_touching_boxes,15,8,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,constructed,face_touching_boxes,16,8,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,face_touching_boxes,1,0,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,face_touching_boxes,2,0,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,face_touching_boxes,3,0,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,face_touching_boxes,4,0,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,face_touching_boxes,5,4,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,face_touching_boxes,6,4,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,face_touching_boxes,7,4,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,face_touching_boxes,8,4,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,face_touching_boxes,9,4,0,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,face_touching_boxes,10,4,0,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,face_touching_boxes,11,4,4,0,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,face_touching_boxes,12,4,4,4,3,3,3,1,0,2,closed_manifold
linux-x64-reference,step_imported,face_touching_boxes,13,8,0,0,3,3,3,1,0,2,closed_manifold
