contract_version,stage,control_id,source_file,source_sha256,vertex_count,edge_count,face_count,shell_count,solid_count,absolute_volume,expected_volume,volume_absolute_error,surface_area,expected_surface_area,surface_area_absolute_error,surface_centroid_x,surface_centroid_y,surface_centroid_z,bounds_min,bounds_max,surface_counts,maximum_vertex_tolerance,maximum_edge_tolerance,maximum_face_tolerance,analyzer_valid
1.0.0,constructed,straight_circular_sweep,,,2,3,3,1,1,18.849555921538759,18.849555921538759,0,43.982297150257097,43.982297150257104,7.1054273576010019e-15,-2.5376526277146439e-16,-5.5178491042043235e-17,3.0000000000000004,-1.0000001000050001|-1.0000001000050001|-1.00005e-07,1.0000001000050001|1.0000001000050001|6.0000001000049998,plane:2|cylinder:1,1.00005e-07,1.00005e-07,9.9999999999999995e-08,1
1.0.0,step_imported,straight_circular_sweep,straight_circular_sweep.step,4ab00213f42be4275e356671e78f44df8aed0348076fa89a8aee4f5070ebae5f,2,3,3,1,1,18.849555921538759,18.849555921538759,0,43.98229715025461,43.982297150257104,2.4940050025179517e-12,-5.6779977545114633e-14,-5.5178491053760303e-17,3.0000000000000009,-1.0000001000000001|-1.0000001000000001|-9.9999999999999995e-08,1.0000001000000001|1.0000001000000001|6.0000001000000003,plane:2|cylinder:1,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,1
1.0.0,constructed,quarter_bend_sweep,,,2,3,3,1,1,8.8826439609804204,8.8826439609804222,1.7763568394002505e-15,31.870759913852723,31.870759913852726,3.5527136788005009e-15,-3.1559093874511874,-6.7864312278756056e-19,1.8440906125488121,-6.0613964216424057|-0.60000010000499993|-1.0613964216424059,1.00005e-07|0.60000010000499993|5.0000001000049998,plane:2|torus:1,1.00005e-07,1.00005e-07,9.9999999999999995e-08,1
1.0.0,step_imported,quarter_bend_sweep,quarter_bend_sweep.step,04b4f81582975862e7bb9a1bcb2bb540ffe913a8202ba2963fe6c12d19391c4c,2,3,3,1,1,8.8826439609808947,8.8826439609804222,4.7251091928046662e-13,31.870759913854677,31.870759913852726,1.950439809661475e-12,-3.1559093874513025,-8.8864843558712148e-18,1.8440906125490055,-6.0613964216374061|-0.60000009999999993|-1.0613964216374059,9.9999999999999995e-08|0.60000009999999993|5.0000001000006273,plane:2|torus:1,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,1
1.0.0,constructed,ruled_circular_loft,,,2,3,3,1,1,29.321531433504738,29.321531433504735,3.5527136788005009e-15,54.567318298194529,54.567318298194536,7.1054273576010019e-15,1.0699106203133079e-16,-7.5603760391086236e-17,2.5036891862686907,-2.0000000999999998|-2.0000000999999998|-9.9999999999999995e-08,2.0000000999999998|2.0000000999999998|4.0000001000000003,plane:2|cone:1,1.0000000000000002e-07,9.9999999999999995e-08,9.9999999999999995e-08,1
1.0.0,step_imported,ruled_circular_loft,ruled_circular_loft.step,06e36132a5288bba39f5bc6743028bae11fcd5e1288b7fc2d257f97a1f0834f6,2,3,3,1,1,29.321531433511993,29.321531433504735,7.2581940457894234e-12,54.567318298200767,54.567318298194536,6.2314597926160786e-12,-7.3105333040604127e-14,-5.55542823368144e-17,2.5036891862687196,-2.0000001000005772|-2.0000001000005772|-9.9999999999999995e-08,2.0000001000005772|2.0000001000005772|4.0000001000000003,plane:2|cone:1,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,1
1.0.0,constructed,smooth_square_loft,,,8,12,6,1,1,68.800000000000011,,,92.711271659940394,,,1.4370071790589485e-17,1.0515599409259492e-17,3,-3.0000000999999998|-3.0000000999999998|-9.9999999999999995e-08,3.0000000999999998|3.0000000999999998|6.0000001000000003,plane:2|bspline:4,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,1
1.0.0,step_imported,smooth_square_loft,smooth_square_loft.step,9ec34f92c4341dc8150d5c0a2fd6ff8e551810c498a344082ec62225b5190eee,8,12,6,1,1,68.800000000000011,,,92.711271659940394,,,1.3172565808040361e-17,8.2702756919798864e-18,3,-3.0000000999999998|-3.0000000999999998|-9.9999999999999995e-08,3.0000000999999998|3.0000000999999998|6.0000001000000003,plane:2|bspline:4,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,1
1.0.0,constructed,interpolated_bspline_surface,,,4,4,1,1,0,0,,,9.5815777795114556,,,1.5222223157332806,1.5222223157332804,0.3474275281248454,-0.00020000000000000001|-0.00020000000000000001|-0.00020000000000000001,3.0002000000000004|3.0002000000000004|1.3501999999999998,bspline:1,9.9999999999999995e-08,9.9999999999999995e-08,0.00020000000000000001,1
1.0.0,step_imported,interpolated_bspline_surface,interpolated_bspline_surface.step,bd5045460f860f81cd0593eeb81fbb18df91665c6d0a579b721ec040fb67e7e6,4,4,1,1,0,0,,,9.5815777795114592,,,1.5222223157332808,1.5222223157332808,0.3474275281248454,-9.9999999999999995e-08|-9.9999999999999995e-08|-9.9999999999999995e-08,3.0000000999999998|3.0000000999999998|1.3500001000000001,bspline:1,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,1
