report_family,group_id,fixture_family,fixture_id,adapter_or_policy,platform_profiles,observations,shape_contract_rate,dtype_contract_rate,exact_pixel_rate,unique_candidate_hashes,mean_absolute_error_min,mean_absolute_error_max,maximum_absolute_error_max
raw_decoder,rgb_untagged:pillow,icc_profile,rgb_untagged,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_1:opencv_apply_orientation,exif_orientation,rgb_orientation_1,opencv_apply_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_1:opencv_ignore_orientation,exif_orientation,rgb_orientation_1,opencv_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_1:pillow_exif_transpose,exif_orientation,rgb_orientation_1,pillow_exif_transpose,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_1:pillow_ignore_orientation,exif_orientation,rgb_orientation_1,pillow_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_2:opencv_apply_orientation,exif_orientation,rgb_orientation_2,opencv_apply_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_2:opencv_ignore_orientation,exif_orientation,rgb_orientation_2,opencv_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_2:pillow_exif_transpose,exif_orientation,rgb_orientation_2,pillow_exif_transpose,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_2:pillow_ignore_orientation,exif_orientation,rgb_orientation_2,pillow_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_3:opencv_apply_orientation,exif_orientation,rgb_orientation_3,opencv_apply_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_3:opencv_ignore_orientation,exif_orientation,rgb_orientation_3,opencv_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_3:pillow_exif_transpose,exif_orientation,rgb_orientation_3,pillow_exif_transpose,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_3:pillow_ignore_orientation,exif_orientation,rgb_orientation_3,pillow_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_4:opencv_apply_orientation,exif_orientation,rgb_orientation_4,opencv_apply_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_4:opencv_ignore_orientation,exif_orientation,rgb_orientation_4,opencv_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_4:pillow_exif_transpose,exif_orientation,rgb_orientation_4,pillow_exif_transpose,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_4:pillow_ignore_orientation,exif_orientation,rgb_orientation_4,pillow_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_5:opencv_apply_orientation,exif_orientation,rgb_orientation_5,opencv_apply_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_5:opencv_ignore_orientation,exif_orientation,rgb_orientation_5,opencv_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_5:pillow_exif_transpose,exif_orientation,rgb_orientation_5,pillow_exif_transpose,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_5:pillow_ignore_orientation,exif_orientation,rgb_orientation_5,pillow_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_6:opencv_apply_orientation,exif_orientation,rgb_orientation_6,opencv_apply_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_6:opencv_ignore_orientation,exif_orientation,rgb_orientation_6,opencv_ignore_orientation,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
interpretation_policy,rgb_orientation_6:pillow_exif_transpose,exif_orientation,rgb_orientation_6,pillow_exif_transpose,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
