fixture_id,encoder,policy,platform_count,behavior_signature_count,decision_signature_count,metadata_state_hash_count,complete_jpeg_hash_count,decoded_pixel_hash_count,strict_accept_count,metadata_core_exact_count,pixel_exact_count,all_contracts_stable
canonical_order,opencv,allow_attribution,5,1,1,1,1,1,5,5,5,1
canonical_order,opencv,allow_catalog,5,1,1,1,1,1,5,5,5,1
canonical_order,opencv,allow_visual_context,5,1,1,1,1,1,5,5,5,1
canonical_order,opencv,drop_location_denylist,5,1,1,1,1,1,5,5,5,1
canonical_order,opencv,retain_all,5,1,1,1,1,1,5,5,5,1
canonical_order,opencv,strip_all,5,1,1,1,1,1,5,5,5,1
canonical_order,pillow,allow_attribution,5,1,1,1,1,1,5,5,5,1
canonical_order,pillow,allow_catalog,5,1,1,1,1,1,5,5,5,1
canonical_order,pillow,allow_visual_context,5,1,1,1,1,1,5,5,5,1
canonical_order,pillow,drop_location_denylist,5,1,1,1,1,1,5,5,5,1
canonical_order,pillow,retain_all,5,1,1,1,1,1,5,5,5,1
canonical_order,pillow,strip_all,5,1,1,1,1,1,5,5,5,1
reordered_equivalent,opencv,allow_attribution,5,1,1,1,1,1,5,5,5,1
reordered_equivalent,opencv,allow_catalog,5,1,1,1,1,1,5,5,5,1
reordered_equivalent,opencv,allow_visual_context,5,1,1,1,1,1,5,5,5,1
reordered_equivalent,opencv,drop_location_denylist,5,1,1,1,1,1,5,5,5,1
reordered_equivalent,opencv,retain_all,5,1,1,1,1,1,5,5,5,1
reordered_equivalent,opencv,strip_all,5,1,1,1,1,1,5,5,5,1
reordered_equivalent,pillow,allow_attribution,5,1,1,1,1,1,5,5,5,1
reordered_equivalent,pillow,allow_catalog,5,1,1,1,1,1,5,5,5,1
reordered_equivalent,pillow,allow_visual_context,5,1,1,1,1,1,5,5,5,1
reordered_equivalent,pillow,drop_location_denylist,5,1,1,1,1,1,5,5,5,1
reordered_equivalent,pillow,retain_all,5,1,1,1,1,1,5,5,5,1
reordered_equivalent,pillow,strip_all,5,1,1,1,1,1,5,5,5,1
