platform_label,fixture_id,syntax_class,reference_decoder,candidate_decoder,reference_decoded_sha256,candidate_decoded_sha256,exact_pixels,within_one_code_value,contract_level,mean_absolute_error,maximum_absolute_error,changed_sample_fraction,changed_pixel_fraction
linux-x64-reference,rgb_progressive_420,progressive_rgb_420,opencv,ffmpeg,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,68b5daed6c445537ee2b8d7dc239b130d9df0f5d01078dacebb0e111d4713114,0,0,outside_contract,3.897745768,79,0.867370605,0.998352051
linux-x64-reference,rgb_progressive_420,progressive_rgb_420,pillow,ffmpeg,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,68b5daed6c445537ee2b8d7dc239b130d9df0f5d01078dacebb0e111d4713114,0,0,outside_contract,3.897745768,79,0.867370605,0.998352051
linux-x64-reference,rgb_progressive_444,progressive_rgb,opencv,pillow,c73d26cf514e3bbb3a83dde4e1d0db35c98ecbc2557ead749555b1874c095f73,c73d26cf514e3bbb3a83dde4e1d0db35c98ecbc2557ead749555b1874c095f73,1,1,exact,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_progressive_444,progressive_rgb,opencv,ffmpeg,c73d26cf514e3bbb3a83dde4e1d0db35c98ecbc2557ead749555b1874c095f73,237901c20a6f5f94e6c2a28a2e512a86d6397bccff088fdf0d8dcdfbcc8f7079,0,0,outside_contract,0.021708171,3,0.017171224,0.028747559
linux-x64-reference,rgb_progressive_444,progressive_rgb,pillow,ffmpeg,c73d26cf514e3bbb3a83dde4e1d0db35c98ecbc2557ead749555b1874c095f73,237901c20a6f5f94e6c2a28a2e512a86d6397bccff088fdf0d8dcdfbcc8f7079,0,0,outside_contract,0.021708171,3,0.017171224,0.028747559
linux-x64-reference,rgb_progressive_restart_420,progressive_restart_rgb,opencv,pillow,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,1,1,exact,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_progressive_restart_420,progressive_restart_rgb,opencv,ffmpeg,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,68b5daed6c445537ee2b8d7dc239b130d9df0f5d01078dacebb0e111d4713114,0,0,outside_contract,3.897745768,79,0.867370605,0.998352051
linux-x64-reference,rgb_progressive_restart_420,progressive_restart_rgb,pillow,ffmpeg,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,68b5daed6c445537ee2b8d7dc239b130d9df0f5d01078dacebb0e111d4713114,0,0,outside_contract,3.897745768,79,0.867370605,0.998352051
linux-x64-reference,rgb_restart_420,restart_rgb,opencv,pillow,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,1,1,exact,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_restart_420,restart_rgb,opencv,ffmpeg,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,68b5daed6c445537ee2b8d7dc239b130d9df0f5d01078dacebb0e111d4713114,0,0,outside_contract,3.897745768,79,0.867370605,0.998352051
linux-x64-reference,rgb_restart_420,restart_rgb,pillow,ffmpeg,142de74e0cfa4ba2eebcb8179fae3c942c426a8e2340311c43bd57b6ea5b91f3,68b5daed6c445537ee2b8d7dc239b130d9df0f5d01078dacebb0e111d4713114,0,0,outside_contract,3.897745768,79,0.867370605,0.998352051
