pipeline,pipeline_description,noise_std,blur_sigma,metric,observations,same_input_ratio_mean,same_input_ratio_sample_std,same_input_ratio_p10,same_input_ratio_median,same_input_ratio_p90,sharp_anchor_ratio_mean,sharp_anchor_ratio_sample_std
jpeg_q95,JPEG quality 95 round trip,15,0,tenengrad_energy,30,0.995537,0.003270,0.993216,0.993307,1.000095,0.944563,0.052452
jpeg_q95,JPEG quality 95 round trip,15,1,laplacian_variance,30,1.016930,0.006662,1.010541,1.013879,1.026414,0.186857,0.041794
jpeg_q95,JPEG quality 95 round trip,15,1,tenengrad_energy,30,0.998168,0.001919,0.996366,0.997296,1.000794,0.475347,0.049585
jpeg_q95,JPEG quality 95 round trip,15,2,laplacian_variance,30,1.028729,0.003601,1.023443,1.029587,1.032968,0.182535,0.066383
jpeg_q95,JPEG quality 95 round trip,15,2,tenengrad_energy,30,1.000923,0.001318,0.999190,1.001137,1.002481,0.202858,0.054828
jpeg_q95,JPEG quality 95 round trip,15,3,laplacian_variance,30,1.032541,0.001877,1.030448,1.032339,1.034864,0.186446,0.079440
jpeg_q95,JPEG quality 95 round trip,15,3,tenengrad_energy,30,1.004691,0.002069,1.002177,1.004579,1.007247,0.079509,0.045456
jpeg_q75,JPEG quality 75 round trip,0,0,laplacian_variance,30,1.031602,0.045456,1.000000,1.000000,1.094807,1.031602,0.045456
jpeg_q75,JPEG quality 75 round trip,0,0,tenengrad_energy,30,1.000877,0.001261,1.000000,1.000000,1.002630,1.000877,0.001261
jpeg_q75,JPEG quality 75 round trip,0,1,laplacian_variance,30,1.113605,0.073529,1.036134,1.094563,1.210117,0.054312,0.013155
jpeg_q75,JPEG quality 75 round trip,0,1,tenengrad_energy,30,0.998841,0.006234,0.990248,1.002153,1.004123,0.471889,0.045259
jpeg_q75,JPEG quality 75 round trip,0,2,laplacian_variance,30,1.182536,0.063920,1.118105,1.161734,1.267768,0.010125,0.001603
jpeg_q75,JPEG quality 75 round trip,0,2,tenengrad_energy,30,0.996705,0.005959,0.989290,0.997209,1.003615,0.184966,0.055230
jpeg_q75,JPEG quality 75 round trip,0,3,laplacian_variance,30,1.517602,0.189208,1.374558,1.397910,1.780339,0.003800,0.002231
jpeg_q75,JPEG quality 75 round trip,0,3,tenengrad_energy,30,1.010076,0.007840,0.999480,1.013157,1.017592,0.060969,0.045013
jpeg_q75,JPEG quality 75 round trip,5,0,laplacian_variance,30,1.021976,0.046541,0.986480,0.992647,1.087472,1.011818,0.065558
jpeg_q75,JPEG quality 75 round trip,5,0,tenengrad_energy,30,1.000075,0.002888,0.997716,0.998321,1.004276,0.980709,0.018776
jpeg_q75,JPEG quality 75 round trip,5,1,laplacian_variance,30,0.883753,0.090561,0.797480,0.846596,1.006607,0.057602,0.012206
jpeg_q75,JPEG quality 75 round trip,5,1,tenengrad_energy,30,0.998415,0.002624,0.994634,0.999627,1.000931,0.471053,0.044252
jpeg_q75,JPEG quality 75 round trip,5,2,laplacian_variance,30,0.511841,0.075994,0.429009,0.493565,0.613245,0.013931,0.003073
jpeg_q75,JPEG quality 75 round trip,5,2,tenengrad_energy,30,1.000116,0.000735,0.999254,0.999939,1.001243,0.187626,0.055357
jpeg_q75,JPEG quality 75 round trip,5,3,laplacian_variance,30,0.306801,0.040995,0.250683,0.328423,0.343060,0.007023,0.003589
jpeg_q75,JPEG quality 75 round trip,5,3,tenengrad_energy,30,0.996011,0.004198,0.989919,0.998137,0.999789,0.062115,0.044200
jpeg_q75,JPEG quality 75 round trip,15,0,laplacian_variance,30,0.983974,0.056792,0.929560,0.961287,1.061822,1.012935,0.129399
jpeg_q75,JPEG quality 75 round trip,15,0,tenengrad_energy,30,0.989778,0.004349,0.986512,0.987005,0.996019,0.939151,0.053210
jpeg_q75,JPEG quality 75 round trip,15,1,laplacian_variance,30,0.933846,0.126256,0.778671,0.937528,1.085637,0.168003,0.024515
jpeg_q75,JPEG quality 75 round trip,15,1,tenengrad_energy,30,0.994928,0.006556,0.990010,0.990711,1.004158,0.473965,0.051085
jpeg_q75,JPEG quality 75 round trip,15,2,laplacian_variance,30,1.065259,0.050864,0.992284,1.089227,1.115582,0.186255,0.058972
jpeg_q75,JPEG quality 75 round trip,15,2,tenengrad_energy,30,1.007876,0.007216,0.998858,1.008534,1.016410,0.204031,0.054093
jpeg_q75,JPEG quality 75 round trip,15,3,laplacian_variance,30,1.105764,0.011127,1.093841,1.107638,1.116444,0.199337,0.084061
jpeg_q75,JPEG quality 75 round trip,15,3,tenengrad_energy,30,1.035845,0.015863,1.016786,1.036092,1.056478,0.081476,0.045578
jpeg_q50,JPEG quality 50 round trip,0,0,laplacian_variance,30,1.015323,0.022041,1.000000,1.000000,1.045970,1.015323,0.022041
jpeg_q50,JPEG quality 50 round trip,0,0,tenengrad_energy,30,1.000708,0.001018,1.000000,1.000000,1.002124,1.000708,0.001018
jpeg_q50,JPEG quality 50 round trip,0,1,laplacian_variance,30,1.099575,0.089315,0.981033,1.126786,1.190905,0.053202,0.011622
jpeg_q50,JPEG quality 50 round trip,0,1,tenengrad_energy,30,0.995586,0.003936,0.990139,0.997844,0.998774,0.470034,0.041744
jpeg_q50,JPEG quality 50 round trip,0,2,laplacian_variance,30,1.536157,0.293458,1.321887,1.342564,1.944019,0.013076,0.002582
jpeg_q50,JPEG quality 50 round trip,0,2,tenengrad_energy,30,1.006092,0.006401,1.001425,1.001863,1.014988,0.186980,0.056977
jpeg_q50,JPEG quality 50 round trip,0,3,laplacian_variance,30,1.853677,0.428805,1.424956,1.709199,2.426876,0.004343,0.002074
jpeg_q50,JPEG quality 50 round trip,0,3,tenengrad_energy,30,1.011845,0.009308,1.005063,1.005690,1.024783,0.060653,0.044200
jpeg_q50,JPEG quality 50 round trip,5,0,laplacian_variance,30,1.012365,0.034908,0.984639,0.991386,1.062427,1.002100,0.053674
jpeg_q50,JPEG quality 50 round trip,5,0,tenengrad_energy,30,0.997777,0.003189,0.995334,0.995855,1.002711,0.978461,0.019026
jpeg_q50,JPEG quality 50 round trip,5,1,laplacian_variance,30,0.876154,0.114218,0.770769,0.826152,1.033336,0.057037,0.012442
jpeg_q50,JPEG quality 50 round trip,5,1,tenengrad_energy,30,0.998029,0.003288,0.993564,0.998744,1.001652,0.470664,0.042067
jpeg_q50,JPEG quality 50 round trip,5,2,laplacian_variance,30,0.540391,0.109259,0.442864,0.486990,0.691763,0.014620,0.003274
jpeg_q50,JPEG quality 50 round trip,5,2,tenengrad_energy,30,0.998793,0.001502,0.997038,0.998589,1.000836,0.187347,0.055127
jpeg_q50,JPEG quality 50 round trip,5,3,laplacian_variance,30,0.245209,0.047849,0.182739,0.250258,0.300623,0.005521,0.002680
jpeg_q50,JPEG quality 50 round trip,5,3,tenengrad_energy,30,0.986922,0.006750,0.979197,0.985263,0.995612,0.061741,0.044220
jpeg_q50,JPEG quality 50 round trip,15,0,laplacian_variance,30,0.972140,0.066227,0.904249,0.951690,1.062508,1.001184,0.136892
jpeg_q50,JPEG quality 50 round trip,15,0,tenengrad_energy,30,0.989659,0.002323,0.986163,0.990236,0.992125,0.938727,0.046819
jpeg_q50,JPEG quality 50 round trip,15,1,laplacian_variance,30,0.549808,0.088715,0.447119,0.539811,0.663170,0.097717,0.007249
jpeg_q50,JPEG quality 50 round trip,15,1,tenengrad_energy,30,0.994943,0.004228,0.991098,0.993038,1.000998,0.473877,0.050114
jpeg_q50,JPEG quality 50 round trip,15,2,laplacian_variance,30,0.415226,0.031161,0.377237,0.416633,0.454068,0.071977,0.021189
jpeg_q50,JPEG quality 50 round trip,15,2,tenengrad_energy,30,0.998608,0.002861,0.995116,0.999197,1.001788,0.202301,0.054345
jpeg_q50,JPEG quality 50 round trip,15,3,laplacian_variance,30,0.395261,0.006621,0.386937,0.395178,0.403877,0.071462,0.030746
jpeg_q50,JPEG quality 50 round trip,15,3,tenengrad_energy,30,0.997815,0.002747,0.993190,0.998231,1.000760,0.079067,0.045412
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",0,0,laplacian_variance,30,0.091416,0.036553,0.041351,0.108869,0.124029,0.091416,0.036553
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",0,0,tenengrad_energy,30,0.567999,0.043670,0.519706,0.560268,0.624022,0.567999,0.043670
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",0,1,laplacian_variance,30,0.494807,0.036645,0.454930,0.487278,0.542214,0.023854,0.005022
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",0,1,tenengrad_energy,30,0.689526,0.048267,0.651406,0.660752,0.756421,0.326682,0.045789
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",0,2,laplacian_variance,30,0.768175,0.058522,0.722697,0.732477,0.849351,0.006712,0.001838
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",0,2,tenengrad_energy,30,0.761164,0.069015,0.693646,0.735869,0.853977,0.144588,0.056682
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",0,3,laplacian_variance,30,0.784906,0.054237,0.737191,0.758189,0.859338,0.002097,0.001496
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",0,3,tenengrad_energy,30,0.780719,0.059291,0.728003,0.752185,0.861968,0.049461,0.039707
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",5,0,laplacian_variance,30,0.091428,0.036714,0.041039,0.109384,0.123856,0.089811,0.035161
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",5,0,tenengrad_energy,30,0.568039,0.044526,0.518068,0.561305,0.624718,0.556465,0.036908
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",5,1,laplacian_variance,30,0.372208,0.002913,0.368288,0.373918,0.375033,0.024396,0.005529
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",5,1,tenengrad_energy,30,0.685209,0.048534,0.644193,0.659247,0.752211,0.324320,0.045791
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",5,2,laplacian_variance,30,0.249594,0.024068,0.228426,0.237269,0.283211,0.006930,0.001968
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",5,2,tenengrad_energy,30,0.755501,0.069378,0.684764,0.734028,0.847715,0.145084,0.056516
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",5,3,laplacian_variance,30,0.093512,0.026827,0.059475,0.096974,0.124151,0.002308,0.001613
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",5,3,tenengrad_energy,30,0.750696,0.072933,0.677392,0.726128,0.848246,0.049783,0.039716
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",15,0,laplacian_variance,30,0.085746,0.034678,0.037742,0.105546,0.114009,0.085697,0.031683
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",15,0,tenengrad_energy,30,0.563878,0.045742,0.510998,0.559482,0.621136,0.533142,0.026019
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",15,1,laplacian_variance,30,0.140604,0.024679,0.112430,0.137428,0.171983,0.025512,0.005867
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",15,1,tenengrad_energy,30,0.665185,0.046770,0.626624,0.639064,0.729874,0.317529,0.044611
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",15,2,laplacian_variance,30,0.047155,0.005520,0.042701,0.043981,0.054959,0.008139,0.002378
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",15,2,tenengrad_energy,30,0.705105,0.075814,0.622721,0.688650,0.803637,0.146274,0.055118
