report_family,fixture_id,fixture_family,mutation,adapter,platform_profiles,observations,strict_accept_rate,decode_success_rate,shape_contract_rate,dtype_contract_rate,exact_success_rate,exact_rate_among_successes,unique_output_hashes,error_categories,unique_diagnostic_hashes,mean_absolute_error_min,mean_absolute_error_max,maximum_absolute_error_max
fixture_decoder,exif_ifd_offset_oob,malformed_exif,ifd_offset_out_of_bounds,ffmpeg,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
fixture_overall,exif_invalid_byte_order,malformed_exif,invalid_tiff_byte_order,all_decoders,5,15,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,none,0,0.000000000,0.000000000,0
fixture_decoder,exif_invalid_byte_order,malformed_exif,invalid_tiff_byte_order,opencv,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,exif_invalid_byte_order,malformed_exif,invalid_tiff_byte_order,pillow,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,exif_invalid_byte_order,malformed_exif,invalid_tiff_byte_order,ffmpeg,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
fixture_overall,exif_orientation_6_valid,valid_exif,orientation_6,all_decoders,5,15,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,none,0,0.000000000,0.000000000,0
fixture_decoder,exif_orientation_6_valid,valid_exif,orientation_6,opencv,5,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,exif_orientation_6_valid,valid_exif,orientation_6,pillow,5,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,exif_orientation_6_valid,valid_exif,orientation_6,ffmpeg,5,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
fixture_overall,exif_orientation_9,malformed_exif,orientation_out_of_range,all_decoders,5,15,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,none,0,0.000000000,0.000000000,0
