control_id,file_name,source_bytes,source_sha256,source_fixture
named_colored_box,named_colored_box_source.step,15887,c7259fe95b367ead9df1d38c0a81216ce971ab390079a41453b7c6a8b317c814,fixtures/step-round-trip-preservation/named_colored_box_source.step
named_colored_through_hole,named_colored_through_hole_source.step,20527,2f06ad82f1661540504d6670780d13179b44f3c45179d4cfbc41ff1d3ca5fb3a,fixtures/step-round-trip-preservation/named_colored_through_hole_source.step
named_colored_bspline,named_colored_bspline_source.step,6371,abd4988920780e172996c76bb27d2adcbb732668c5636c54e70b6242c9ef8851,fixtures/step-round-trip-preservation/named_colored_bspline_source.step
