platform_label,fixture_id,fixture_family,policy,reference_policy,metadata_control,shape_contract,dtype_contract,exact_pixels,within_one_code_value,reference_bgr_sha256,candidate_bgr_sha256,mean_absolute_error,maximum_absolute_error,changed_sample_fraction,changed_pixel_fraction
linux-x64-reference,rgb_orientation_3,exif_orientation,pillow_ignore_orientation,pillow_raw_unoriented_pixels,orientation_3,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_orientation_3,exif_orientation,pillow_exif_transpose,pillow_orientation_normalized_pixels,orientation_3,1,1,1,1,0f1a0f5d77ecde29dbfdc0cee054ac8cd3dd793f197da1c7aff0cfa769df68c1,0f1a0f5d77ecde29dbfdc0cee054ac8cd3dd793f197da1c7aff0cfa769df68c1,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_orientation_4,exif_orientation,opencv_ignore_orientation,opencv_raw_unoriented_pixels,orientation_4,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_orientation_4,exif_orientation,opencv_apply_orientation,opencv_orientation_normalized_pixels,orientation_4,1,1,1,1,672f94274e4f9ec6ff0ec088a1f5ae4bb9b06c4f874e7b993813e3d0082b5227,672f94274e4f9ec6ff0ec088a1f5ae4bb9b06c4f874e7b993813e3d0082b5227,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_orientation_4,exif_orientation,pillow_ignore_orientation,pillow_raw_unoriented_pixels,orientation_4,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_orientation_4,exif_orientation,pillow_exif_transpose,pillow_orientation_normalized_pixels,orientation_4,1,1,1,1,672f94274e4f9ec6ff0ec088a1f5ae4bb9b06c4f874e7b993813e3d0082b5227,672f94274e4f9ec6ff0ec088a1f5ae4bb9b06c4f874e7b993813e3d0082b5227,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_orientation_5,exif_orientation,opencv_ignore_orientation,opencv_raw_unoriented_pixels,orientation_5,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_orientation_5,exif_orientation,opencv_apply_orientation,opencv_orientation_normalized_pixels,orientation_5,1,1,1,1,f2fb3c761b072c3505a741569049cd6b8c183815aa34f6635179f5b06b169940,f2fb3c761b072c3505a741569049cd6b8c183815aa34f6635179f5b06b169940,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_orientation_5,exif_orientation,pillow_ignore_orientation,pillow_raw_unoriented_pixels,orientation_5,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_orientation_5,exif_orientation,pillow_exif_transpose,pillow_orientation_normalized_pixels,orientation_5,1,1,1,1,f2fb3c761b072c3505a741569049cd6b8c183815aa34f6635179f5b06b169940,f2fb3c761b072c3505a741569049cd6b8c183815aa34f6635179f5b06b169940,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_orientation_6,exif_orientation,opencv_ignore_orientation,opencv_raw_unoriented_pixels,orientation_6,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_orientation_6,exif_orientation,opencv_apply_orientation,opencv_orientation_normalized_pixels,orientation_6,1,1,1,1,8cdadd8e844e977c2b10a1fb521383773f56d7947db17371efb202dd97905a43,8cdadd8e844e977c2b10a1fb521383773f56d7947db17371efb202dd97905a43,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_orientation_6,exif_orientation,pillow_ignore_orientation,pillow_raw_unoriented_pixels,orientation_6,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_orientation_6,exif_orientation,pillow_exif_transpose,pillow_orientation_normalized_pixels,orientation_6,1,1,1,1,8cdadd8e844e977c2b10a1fb521383773f56d7947db17371efb202dd97905a43,8cdadd8e844e977c2b10a1fb521383773f56d7947db17371efb202dd97905a43,0.000000000,0,0.000000000,0.000000000
linux-x64-reference,rgb_orientation_7,exif_orientation,opencv_ignore_orientation,opencv_raw_unoriented_pixels,orientation_7,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
