pattern,noise_std,trial,seed,configuration,window_size,stride,metric,positive_window_count,minimum_ratio,minimum_ratio_window_coverage,average_precision
checkerboard,5,6,20261928,overlap_64,64,32,laplacian_variance,5,0.017216,1.000000,1.000000
checkerboard,5,6,20261928,overlap_64,64,32,tenengrad_energy,5,0.030750,1.000000,1.000000
checkerboard,5,6,20261928,fine_32,32,16,laplacian_variance,21,0.021242,1.000000,1.000000
checkerboard,5,6,20261928,fine_32,32,16,tenengrad_energy,21,0.032671,1.000000,1.000000
checkerboard,5,7,20261929,overlap_64,64,32,laplacian_variance,5,0.017840,1.000000,1.000000
checkerboard,5,7,20261929,overlap_64,64,32,tenengrad_energy,5,0.030482,1.000000,1.000000
checkerboard,5,7,20261929,fine_32,32,16,laplacian_variance,21,0.021584,1.000000,1.000000
checkerboard,5,7,20261929,fine_32,32,16,tenengrad_energy,21,0.031970,1.000000,1.000000
checkerboard,5,8,20261930,overlap_64,64,32,laplacian_variance,5,0.017724,1.000000,1.000000
checkerboard,5,8,20261930,overlap_64,64,32,tenengrad_energy,5,0.031298,1.000000,1.000000
checkerboard,5,8,20261930,fine_32,32,16,laplacian_variance,21,0.021018,1.000000,1.000000
checkerboard,5,8,20261930,fine_32,32,16,tenengrad_energy,21,0.033163,1.000000,1.000000
checkerboard,5,9,20261931,overlap_64,64,32,laplacian_variance,5,0.017568,1.000000,1.000000
checkerboard,5,9,20261931,overlap_64,64,32,tenengrad_energy,5,0.031125,1.000000,1.000000
checkerboard,5,9,20261931,fine_32,32,16,laplacian_variance,21,0.020794,1.000000,1.000000
checkerboard,5,9,20261931,fine_32,32,16,tenengrad_energy,21,0.032762,1.000000,1.000000
checkerboard,15,0,20262922,overlap_64,64,32,laplacian_variance,5,0.137794,1.000000,1.000000
checkerboard,15,0,20262922,overlap_64,64,32,tenengrad_energy,5,0.043924,1.000000,1.000000
checkerboard,15,0,20262922,fine_32,32,16,laplacian_variance,21,0.157767,1.000000,1.000000
checkerboard,15,0,20262922,fine_32,32,16,tenengrad_energy,21,0.045555,1.000000,1.000000
checkerboard,15,1,20262923,overlap_64,64,32,laplacian_variance,5,0.138313,1.000000,1.000000
checkerboard,15,1,20262923,overlap_64,64,32,tenengrad_energy,5,0.043880,1.000000,1.000000
checkerboard,15,1,20262923,fine_32,32,16,laplacian_variance,21,0.164621,1.000000,1.000000
checkerboard,15,1,20262923,fine_32,32,16,tenengrad_energy,21,0.045600,1.000000,1.000000
checkerboard,15,2,20262924,overlap_64,64,32,laplacian_variance,5,0.132848,1.000000,1.000000
checkerboard,15,2,20262924,overlap_64,64,32,tenengrad_energy,5,0.043964,1.000000,1.000000
checkerboard,15,2,20262924,fine_32,32,16,laplacian_variance,21,0.144509,1.000000,1.000000
checkerboard,15,2,20262924,fine_32,32,16,tenengrad_energy,21,0.045753,1.000000,1.000000
checkerboard,15,3,20262925,overlap_64,64,32,laplacian_variance,5,0.131684,1.000000,1.000000
checkerboard,15,3,20262925,overlap_64,64,32,tenengrad_energy,5,0.041887,1.000000,1.000000
checkerboard,15,3,20262925,fine_32,32,16,laplacian_variance,21,0.148674,1.000000,1.000000
checkerboard,15,3,20262925,fine_32,32,16,tenengrad_energy,21,0.042912,1.000000,1.000000
checkerboard,15,4,20262926,overlap_64,64,32,laplacian_variance,5,0.132432,1.000000,1.000000
checkerboard,15,4,20262926,overlap_64,64,32,tenengrad_energy,5,0.044405,1.000000,1.000000
checkerboard,15,4,20262926,fine_32,32,16,laplacian_variance,21,0.150201,1.000000,1.000000
