stage,control_id,edge_index,truth_role,curve_type,length,first_point_x,first_point_y,first_point_z,last_point_x,last_point_y,last_point_z,support_direction,support_anchor,incident_face_count,incident_face_indices
constructed,split_box,16,long_y6_z3_right,line,6,4,6,3,10,6,3,1.0|0.0|0.0,0.0|6.0|3.0,2,7|8
constructed,split_box,17,"edge_10,0,3__10,6,3",line,6,10,0,3,10,6,3,0.0|1.0|0.0,10.0|0.0|3.0,2,7|10
constructed,split_box,18,long_y6_z0_right,line,6,4,6,0,10,6,0,1.0|0.0|0.0,0.0|6.0|0.0,2,8|9
constructed,split_box,19,"edge_10,6,0__10,6,3",line,3,10,6,0,10,6,3,0.0|0.0|1.0,10.0|6.0|0.0,2,8|10
constructed,split_box,20,"edge_10,0,0__10,6,0",line,6,10,0,0,10,6,0,0.0|1.0|0.0,10.0|0.0|0.0,2,9|10
step_imported,split_box,1,"edge_0,0,0__0,0,3",line,3,0,0,0,0,0,3,0.0|0.0|1.0,0.0|0.0|0.0,2,1|2
step_imported,split_box,2,"edge_0,0,0__0,6,0",line,6,0,0,0,0,6,0,0.0|1.0|0.0,0.0|0.0|0.0,2,1|5
step_imported,split_box,3,"edge_0,6,0__0,6,3",line,3,0,6,0,0,6,3,0.0|0.0|1.0,0.0|6.0|0.0,2,1|4
step_imported,split_box,4,"edge_0,0,3__0,6,3",line,6,0,0,3,0,6,3,0.0|1.0|0.0,0.0|0.0|3.0,2,1|3
step_imported,split_box,5,long_y0_z0_left,line,4,0,0,0,4,0,0,1.0|0.0|0.0,0.0|0.0|0.0,2,2|5
step_imported,split_box,6,long_y0_z3_left,line,4,0,0,3,4,0,3,1.0|0.0|0.0,0.0|0.0|3.0,2,2|3
step_imported,split_box,7,"seam_4,0,0__4,0,3",line,3,4,0,0,4,0,3,0.0|0.0|1.0,4.0|0.0|0.0,2,2|6
step_imported,split_box,8,"seam_4,0,3__4,6,3",line,6,4,0,3,4,6,3,0.0|1.0|0.0,4.0|0.0|3.0,2,3|7
step_imported,split_box,9,long_y6_z3_left,line,4,0,6,3,4,6,3,1.0|0.0|0.0,0.0|6.0|3.0,2,3|4
step_imported,split_box,10,long_y6_z0_left,line,4,0,6,0,4,6,0,1.0|0.0|0.0,0.0|6.0|0.0,2,4|5
step_imported,split_box,11,"seam_4,6,0__4,6,3",line,3,4,6,0,4,6,3,0.0|0.0|1.0,4.0|6.0|0.0,2,4|8
step_imported,split_box,12,"seam_4,0,0__4,6,0",line,6,4,0,0,4,6,0,0.0|1.0|0.0,4.0|0.0|0.0,2,5|9
step_imported,split_box,13,long_y0_z0_right,line,6,4,0,0,10,0,0,1.0|0.0|0.0,0.0|0.0|0.0,2,6|9
step_imported,split_box,14,long_y0_z3_right,line,6,4,0,3,10,0,3,1.0|0.0|0.0,0.0|0.0|3.0,2,6|7
step_imported,split_box,15,"edge_10,0,0__10,0,3",line,3,10,0,0,10,0,3,0.0|0.0|1.0,10.0|0.0|0.0,2,6|10
step_imported,split_box,16,"edge_10,0,3__10,6,3",line,6,10,0,3,10,6,3,0.0|1.0|0.0,10.0|0.0|3.0,2,7|10
step_imported,split_box,17,long_y6_z3_right,line,6,4,6,3,10,6,3,1.0|0.0|0.0,0.0|6.0|3.0,2,7|8
step_imported,split_box,18,long_y6_z0_right,line,6,4,6,0,10,6,0,1.0|0.0|0.0,0.0|6.0|0.0,2,8|9
step_imported,split_box,19,"edge_10,6,0__10,6,3",line,3,10,6,0,10,6,3,0.0|0.0|1.0,10.0|6.0|0.0,2,8|10
step_imported,split_box,20,"edge_10,0,0__10,6,0",line,6,10,0,0,10,6,0,0.0|1.0|0.0,10.0|0.0|0.0,2,9|10
constructed,coincident_faces,1,"edge_0,0,0__3,0,0",line,3,0,0,0,3,0,0,1.0|0.0|0.0,0.0|0.0|0.0,1,1
constructed,coincident_faces,2,"edge_3,0,0__3,2,0",line,2,3,0,0,3,2,0,0.0|1.0|0.0,3.0|0.0|0.0,1,1
constructed,coincident_faces,3,"edge_0,2,0__3,2,0",line,3,0,2,0,3,2,0,1.0|0.0|0.0,0.0|2.0|0.0,1,1
constructed,coincident_faces,4,"edge_0,0,0__0,2,0",line,2,0,0,0,0,2,0,0.0|1.0|0.0,0.0|0.0|0.0,1,1
constructed,coincident_faces,5,"edge_0,0,0__3,0,0",line,3,0,0,0,3,0,0,1.0|0.0|0.0,0.0|0.0|0.0,1,2
constructed,coincident_faces,6,"edge_3,0,0__3,2,0",line,2,3,0,0,3,2,0,0.0|1.0|0.0,3.0|0.0|0.0,1,2
constructed,coincident_faces,7,"edge_0,2,0__3,2,0",line,3,0,2,0,3,2,0,1.0|0.0|0.0,0.0|2.0|0.0,1,2
constructed,coincident_faces,8,"edge_0,0,0__0,2,0",line,2,0,0,0,0,2,0,0.0|1.0|0.0,0.0|0.0|0.0,1,2
step_imported,coincident_faces,1,"edge_0,0,0__3,0,0",line,3,0,0,0,3,0,0,1.0|0.0|0.0,0.0|0.0|0.0,1,1
step_imported,coincident_faces,2,"edge_3,0,0__3,2,0",line,2,3,0,0,3,2,0,0.0|1.0|0.0,3.0|0.0|0.0,1,1
step_imported,coincident_faces,3,"edge_0,2,0__3,2,0",line,3,0,2,0,3,2,0,1.0|0.0|0.0,0.0|2.0|0.0,1,1
step_imported,coincident_faces,4,"edge_0,0,0__0,2,0",line,2,0,0,0,0,2,0,0.0|1.0|0.0,0.0|0.0|0.0,1,1
step_imported,coincident_faces,5,"edge_0,0,0__3,0,0",line,3,0,0,0,3,0,0,1.0|0.0|0.0,0.0|0.0|0.0,1,2
step_imported,coincident_faces,6,"edge_3,0,0__3,2,0",line,2,3,0,0,3,2,0,0.0|1.0|0.0,3.0|0.0|0.0,1,2
step_imported,coincident_faces,7,"edge_0,2,0__3,2,0",line,3,0,2,0,3,2,0,1.0|0.0|0.0,0.0|2.0|0.0,1,2
step_imported,coincident_faces,8,"edge_0,0,0__0,2,0",line,2,0,0,0,0,2,0,0.0|1.0|0.0,0.0|0.0|0.0,1,2
healed,split_box,1,"edge_0,0,0__0,0,3",line,3,0,0,0,0,0,3,0.0|0.0|1.0,0.0|0.0|0.0,2,1|6
healed,split_box,2,"edge_0,0,0__0,6,0",line,6,0,0,0,0,6,0,0.0|1.0|0.0,0.0|0.0|0.0,2,1|5
healed,split_box,3,"edge_0,6,0__0,6,3",line,3,0,6,0,0,6,3,0.0|0.0|1.0,0.0|6.0|0.0,2,1|4
healed,split_box,4,"edge_0,0,3__0,6,3",line,6,0,0,3,0,6,3,0.0|1.0|0.0,0.0|0.0|3.0,2,1|2
healed,split_box,5,long_y0_z3,line,10,0,0,3,10,0,3,1.0|0.0|0.0,0.0|0.0|3.0,2,2|6
healed,split_box,6,"edge_10,0,3__10,6,3",line,6,10,0,3,10,6,3,0.0|1.0|0.0,10.0|0.0|3.0,2,2|3
healed,split_box,7,long_y6_z3,line,10,0,6,3,10,6,3,1.0|0.0|0.0,0.0|6.0|3.0,2,2|4
healed,split_box,8,"edge_10,0,0__10,0,3",line,3,10,0,0,10,0,3,0.0|0.0|1.0,10.0|0.0|0.0,2,3|6
healed,split_box,9,"edge_10,0,0__10,6,0",line,6,10,0,0,10,6,0,0.0|1.0|0.0,10.0|0.0|0.0,2,3|5
healed,split_box,10,"edge_10,6,0__10,6,3",line,3,10,6,0,10,6,3,0.0|0.0|1.0,10.0|6.0|0.0,2,3|4
healed,split_box,11,long_y6_z0,line,10,0,6,0,10,6,0,1.0|0.0|0.0,0.0|6.0|0.0,2,4|5
healed,split_box,12,long_y0_z0,line,10,0,0,0,10,0,0,1.0|0.0|0.0,0.0|0.0|0.0,2,5|6
