model_id,family_id,split,sample_count,raw_prediction_count,decision_count,raw_prediction_stable,decision_stable,minimum_confidence,maximum_confidence
bounded_rule,blind_hole,train,4,1,1,1,1,0.90000000000000002,0.90000000000000002
bounded_rule,chamfer_operation,validation,4,1,1,1,1,0.90000000000000002,0.90000000000000002
bounded_rule,cylindrical_boss,validation,4,1,1,1,1,0.90000000000000002,0.90000000000000002
bounded_rule,fillet_operation,test,4,1,1,1,1,0.90000000000000002,0.90000000000000002
bounded_rule,plain_block,train,4,1,1,1,1,0.90000000000000002,0.90000000000000002
bounded_rule,stepped_block,train,4,1,1,1,1,0.90000000000000002,0.90000000000000002
bounded_rule,through_hole,train,4,1,1,1,1,0.90000000000000002,0.90000000000000002
bounded_rule,through_slot,validation,4,1,1,1,1,0.90000000000000002,0.90000000000000002
bounded_rule,toroidal_surface,test,4,1,1,1,1,0.94999999999999996,0.94999999999999996
geometry_centroid,blind_hole,train,4,1,1,1,1,0.52802757878261242,0.57600808750600141
geometry_centroid,chamfer_operation,validation,4,1,1,1,1,0.51063961832272153,0.55932880048434641
geometry_centroid,cylindrical_boss,validation,4,1,1,1,1,0.5021167124356275,0.55213696451723349
geometry_centroid,fillet_operation,test,4,2,1,0,1,0.50699111179007095,0.54207321209785575
geometry_centroid,plain_block,train,4,1,1,1,1,0.5106963455105511,0.55973654594549815
geometry_centroid,stepped_block,train,4,1,1,1,1,0.50815066831695554,0.54004786667330884
geometry_centroid,through_hole,train,4,1,1,1,1,0.62080427458330756,0.66406052491574108
geometry_centroid,through_slot,validation,4,1,1,1,1,0.53431647988490838,0.57849576730883412
geometry_centroid,toroidal_surface,test,4,1,1,1,1,0.99922609060149914,0.99924281393012915
graph_centroid,blind_hole,train,4,1,1,1,1,0.8008814990962746,0.8008814990962746
graph_centroid,chamfer_operation,validation,4,1,1,1,1,0.57310336682751306,0.57310336682751306
graph_centroid,cylindrical_boss,validation,4,1,1,1,1,0.8008814990962746,0.8008814990962746
graph_centroid,fillet_operation,test,4,1,1,1,1,0.6450966135165056,0.6450966135165056
graph_centroid,plain_block,train,4,1,1,1,1,0.7687894859552622,0.7687894859552622
graph_centroid,stepped_block,train,4,1,1,1,1,0.85699309534928292,0.85699309534928292
graph_centroid,through_hole,train,4,1,1,1,1,0.60398945411854754,0.60398945411854754
graph_centroid,through_slot,validation,4,1,1,1,1,0.99545251492306464,0.99545251492306464
graph_centroid,toroidal_surface,test,4,1,1,1,1,0.99980037552559164,0.99980037552559164
tabular_centroid,blind_hole,train,4,1,1,1,1,0.87528138203806782,0.89498132217605331
tabular_centroid,chamfer_operation,validation,4,1,1,1,1,0.62258391207605257,0.66738995224269926
tabular_centroid,cylindrical_boss,validation,4,1,1,1,1,0.86350647402841385,0.88549881921319928
tabular_centroid,fillet_operation,test,4,1,1,1,1,0.7338086066849786,0.77042113536020806
tabular_centroid,plain_block,train,4,1,1,1,1,0.89408551194864994,0.91136933845870516
tabular_centroid,stepped_block,train,4,1,1,1,1,0.96794677735001688,0.97168690347883901
tabular_centroid,through_hole,train,4,1,1,1,1,0.79568227509555145,0.82462506195006835
tabular_centroid,through_slot,validation,4,1,1,1,1,0.99995324532622321,0.99996091250707209
tabular_centroid,toroidal_surface,test,4,1,1,1,1,0.99886294196867131,0.99888750380198654
