relation_id,baseline_control_id,changed_control_id,changed_parameter,baseline_parameter,changed_parameter_value,expected_volume_ratio,observed_constructed_volume_ratio,observed_step_imported_volume_ratio,constructed_ratio_error,step_imported_ratio_error,recompute_relation_passes
rectangle_height_5_to_7,extruded_rectangle_h5,extruded_rectangle_h7,height,5,7,1.3999999999999999,1.3999999999999999,1.3999999999999999,0,0,1
revolution_360_to_180,revolved_annulus_full,revolved_annulus_half,angle_degrees,360,180,0.5,0.50000000000000011,0.50000000000002587,1.1102230246251565e-16,2.5868196473766147e-14,1
