contract_version,control_id,source_file,source_sha256,mesh_condition,requested_linear_deflection,requested_angular_deflection_radians,relative_deflection,parallel_meshing,mesher_status_flags,analysis_face_index,source_entity_id,source_entity_type,source_mapping_method,surface_type,face_orientation,node_count,triangle_count,degenerate_triangle_count,has_uv_nodes,has_normals,stored_deflection,exact_surface_area,mesh_surface_area,signed_area_difference,absolute_area_difference,relative_area_difference,maximum_sampled_surface_deviation,mean_sampled_surface_deviation
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,fine_linear,0.050000000000000003,0.69999999999999996,0,0,0,1,#17,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,reversed,4,2,0,1,0,0,48,48,0,0,0,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,fine_linear,0.050000000000000003,0.69999999999999996,0,0,0,2,#137,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,reversed,4,2,0,1,0,0,72,72,0,0,0,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,fine_linear,0.050000000000000003,0.69999999999999996,0,0,0,3,#213,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,forward,22,22,0,1,0,0,91.091261478765944,91.190341734482786,0.099080255716842203,0.099080255716842203,0.0010877031902773522,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,fine_linear,0.050000000000000003,0.69999999999999996,0,0,0,4,#293,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,forward,4,2,0,1,0,0,72,72,0,0,0,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,fine_linear,0.050000000000000003,0.69999999999999996,0,0,0,5,#342,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,reversed,22,22,0,1,0,0,91.091261478765944,91.190341734482786,0.099080255716842203,0.099080255716842203,0.0010877031902773522,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,fine_linear,0.050000000000000003,0.69999999999999996,0,0,0,6,#395,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,forward,4,2,0,1,0,0,48,48,0,0,0,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,fine_linear,0.050000000000000003,0.69999999999999996,0,0,0,7,#402,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,cylinder,reversed,38,36,0,1,0,0.018990308734740911,47.123889803850005,46.885007970071193,-0.23888183377881234,0.23888183377881234,0.0050692299547669293,0.01687868664140884,0.016878686641402137
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,fine_both,0.050000000000000003,0.25,0,0,0,1,#17,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,reversed,4,2,0,1,0,0,48,48,0,0,0,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,fine_both,0.050000000000000003,0.25,0,0,0,2,#137,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,reversed,4,2,0,1,0,0,72,72,0,0,0,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,fine_both,0.050000000000000003,0.25,0,0,0,3,#213,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,forward,55,55,0,1,0,0,91.091261478765944,91.103669668827791,0.01240819006184779,0.01240819006184779,0.00013621712840962503,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,fine_both,0.050000000000000003,0.25,0,0,0,4,#293,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,forward,4,2,0,1,0,0,72,72,0,0,0,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,fine_both,0.050000000000000003,0.25,0,0,0,5,#342,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,reversed,55,55,0,1,0,0,91.091261478765944,91.103669668827791,0.01240819006184779,0.01240819006184779,0.00013621712840962503,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,fine_both,0.050000000000000003,0.25,0,0,0,6,#395,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,plane,forward,4,2,0,1,0,0,48,48,0,0,0,0,0
1.0.0,meshing_through_hole,meshing_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,fine_both,0.050000000000000003,0.25,0,0,0,7,#402,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,cylinder,reversed,104,102,0,1,0,0.002370839078695469,47.123889803850005,47.094093192466275,-0.029796611383730465,0.029796611383730465,0.0006323037318811507,0.0021073878318863216,0.0021073878318830673
1.0.0,meshing_sphere,meshing_sphere.step,221bec5d9d90a16317294d5d85e34d2e8b551a2aa3a3200e57f7a159e287fb52,coarse_both,0.80000000000000004,0.69999999999999996,0,0,0,1,#17,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,sphere,forward,95,168,2,1,0,0.14586786711435593,50.26548245743669,48.193293431703331,-2.0721890257333584,2.0721890257333584,0.041224890808280339,0.57772581946270618,0.10733783558583507
1.0.0,meshing_sphere,meshing_sphere.step,221bec5d9d90a16317294d5d85e34d2e8b551a2aa3a3200e57f7a159e287fb52,fine_angular,0.80000000000000004,0.25,0,0,0,1,#17,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,sphere,forward,658,1260,2,1,0,0.030909170452212226,50.26548245743669,49.966373380334929,-0.29910907710176105,0.29910907710176105,0.0059505860180500145,0.23151959213496667,0.016138041356522279
1.0.0,meshing_sphere,meshing_sphere.step,221bec5d9d90a16317294d5d85e34d2e8b551a2aa3a3200e57f7a159e287fb52,fine_linear,0.050000000000000003,0.69999999999999996,0,0,0,1,#17,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,sphere,forward,223,422,2,1,0,0.060691031163907651,50.26548245743669,49.390287257926943,-0.87519519950974711,0.87519519950974711,0.017411455271534225,0.37545026334631471,0.045023320117893749
1.0.0,meshing_sphere,meshing_sphere.step,221bec5d9d90a16317294d5d85e34d2e8b551a2aa3a3200e57f7a159e287fb52,fine_both,0.050000000000000003,0.25,0,0,0,1,#17,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,sphere,forward,658,1260,2,1,0,0.030909170452212226,50.26548245743669,49.966373380334929,-0.29910907710176105,0.29910907710176105,0.0059505860180500145,0.23151959213496667,0.016138041356522279
1.0.0,meshing_bspline_shell,meshing_bspline_shell.step,bd5045460f860f81cd0593eeb81fbb18df91665c6d0a579b721ec040fb67e7e6,coarse_both,0.80000000000000004,0.69999999999999996,0,0,0,1,#17,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,bspline,forward,8,10,0,1,0,0.075000000000000067,9.5815777795114592,9.6527062801291255,0.07112850061766629,0.07112850061766629,0.007423464303526528,0.050000000000000017,0.029999999999999961
1.0.0,meshing_bspline_shell,meshing_bspline_shell.step,bd5045460f860f81cd0593eeb81fbb18df91665c6d0a579b721ec040fb67e7e6,fine_angular,0.80000000000000004,0.25,0,0,0,1,#17,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,bspline,forward,8,10,0,1,0,0.075000000000000067,9.5815777795114592,9.6527062801291255,0.07112850061766629,0.07112850061766629,0.007423464303526528,0.050000000000000017,0.029999999999999961
1.0.0,meshing_bspline_shell,meshing_bspline_shell.step,bd5045460f860f81cd0593eeb81fbb18df91665c6d0a579b721ec040fb67e7e6,fine_linear,0.050000000000000003,0.69999999999999996,0,0,0,1,#17,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,bspline,forward,12,18,0,1,0,0.037500000000000089,9.5815777795114592,9.6170493225936582,0.03547154308219902,0.03547154308219902,0.0037020565817509469,0.025000000000000022,0.014814814814814833
1.0.0,meshing_bspline_shell,meshing_bspline_shell.step,bd5045460f860f81cd0593eeb81fbb18df91665c6d0a579b721ec040fb67e7e6,fine_both,0.050000000000000003,0.25,0,0,0,1,#17,ADVANCED_FACE,XSControl_TransferReader.EntityFromShapeResult(mode=1):interface_model_position_to_part21_instance,bspline,forward,12,18,0,1,0,0.037500000000000089,9.5815777795114592,9.6170493225936582,0.03547154308219902,0.03547154308219902,0.0037020565817509469,0.025000000000000022,0.014814814814814833
