pattern,placement,blur_sigma,configuration,window_size,stride,metric,window_count,positive_window_count,max_window_coverage,minimum_ratio,minimum_ratio_window_coverage,best_coverage_ratio,average_precision
checkerboard,offset_16,3,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.031603,1.000000,0.031603,1.000000
checkerboard,offset_16,3,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.710570,0.250000,0.710570,
checkerboard,offset_16,3,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.734851,0.250000,0.734851,
checkerboard,offset_32,1,nonoverlap_64,64,64,laplacian_variance,16,0,0.250000,0.753664,0.250000,0.753664,
checkerboard,offset_32,1,nonoverlap_64,64,64,tenengrad_energy,16,0,0.250000,0.852649,0.250000,0.852649,
checkerboard,offset_32,1,overlap_64,64,32,laplacian_variance,49,5,1.000000,0.075094,1.000000,0.075094,1.000000
checkerboard,offset_32,1,overlap_64,64,32,tenengrad_energy,49,5,1.000000,0.414349,1.000000,0.414349,1.000000
checkerboard,offset_32,1,fine_32,32,16,laplacian_variance,225,21,1.000000,0.107368,1.000000,0.107368,1.000000
checkerboard,offset_32,1,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.422705,1.000000,0.422705,1.000000
checkerboard,offset_32,1,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.729559,0.250000,0.729559,
checkerboard,offset_32,1,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.844264,0.250000,0.844264,
checkerboard,offset_32,2,nonoverlap_64,64,64,laplacian_variance,16,0,0.250000,0.734054,0.250000,0.734054,
checkerboard,offset_32,2,nonoverlap_64,64,64,tenengrad_energy,16,0,0.250000,0.777609,0.250000,0.777609,
checkerboard,offset_32,2,overlap_64,64,32,laplacian_variance,49,5,1.000000,0.014745,1.000000,0.014745,1.000000
checkerboard,offset_32,2,overlap_64,64,32,tenengrad_energy,49,5,1.000000,0.138178,1.000000,0.138178,1.000000
checkerboard,offset_32,2,fine_32,32,16,laplacian_variance,225,21,1.000000,0.024555,1.000000,0.024555,1.000000
checkerboard,offset_32,2,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.146409,1.000000,0.146409,1.000000
checkerboard,offset_32,2,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.713202,0.250000,0.713202,
checkerboard,offset_32,2,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.766116,0.250000,0.766116,
checkerboard,offset_32,3,nonoverlap_64,64,64,laplacian_variance,16,0,0.250000,0.730146,0.250000,0.730146,
checkerboard,offset_32,3,nonoverlap_64,64,64,tenengrad_energy,16,0,0.250000,0.746279,0.250000,0.746279,
checkerboard,offset_32,3,overlap_64,64,32,laplacian_variance,49,5,1.000000,0.003138,1.000000,0.003138,1.000000
checkerboard,offset_32,3,overlap_64,64,32,tenengrad_energy,49,5,1.000000,0.029503,1.000000,0.029503,1.000000
checkerboard,offset_32,3,fine_32,32,16,laplacian_variance,225,21,1.000000,0.005220,1.000000,0.005220,1.000000
checkerboard,offset_32,3,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.031603,1.000000,0.031603,1.000000
checkerboard,offset_32,3,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.710570,0.250000,0.710570,
checkerboard,offset_32,3,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.734851,0.250000,0.734851,
vertical_bars,aligned,1,nonoverlap_64,64,64,laplacian_variance,16,1,1.000000,0.100654,1.000000,0.100654,1.000000
vertical_bars,aligned,1,nonoverlap_64,64,64,tenengrad_energy,16,1,1.000000,0.514086,1.000000,0.514086,1.000000
vertical_bars,aligned,1,overlap_64,64,32,laplacian_variance,49,5,1.000000,0.100654,1.000000,0.100654,1.000000
vertical_bars,aligned,1,overlap_64,64,32,tenengrad_energy,49,5,1.000000,0.514086,1.000000,0.514086,1.000000
vertical_bars,aligned,1,fine_32,32,16,laplacian_variance,225,21,1.000000,0.152941,1.000000,0.152941,1.000000
vertical_bars,aligned,1,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.531667,1.000000,0.531667,1.000000
vertical_bars,aligned,1,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.767166,0.250000,0.767166,
vertical_bars,aligned,1,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.876029,0.250000,0.876029,
