pattern,blur_sigma,blurred_tiles,area_fraction,placement,metric,global_score,global_ratio,tile_mean_ratio,lowest_quartile_mean_ratio,minimum_tile_ratio,blurred_tile_mean_ratio,sharp_tile_mean_ratio,top_k_recall
checkerboard,3,8,0.5000,center,laplacian_variance,18846.270020,0.481699,0.501538,0.003016,0.003016,0.003077,1.000000,1.000000
checkerboard,3,8,0.5000,center,tenengrad_energy,207959.828857,0.504259,0.515657,0.029503,0.029503,0.031314,1.000000,1.000000
checkerboard,3,16,1.0000,full,laplacian_variance,68.022705,0.001739,0.002977,0.002738,0.002738,0.002977,,1.000000
checkerboard,3,16,1.0000,full,tenengrad_energy,13135.357910,0.031850,0.033127,0.029503,0.029503,0.033127,,1.000000
vertical_bars,0,0,0.0000,none,laplacian_variance,15748.242188,1.000000,1.000000,1.000000,1.000000,,1.000000,
vertical_bars,0,0,0.0000,none,tenengrad_energy,251971.875000,1.000000,1.000000,1.000000,1.000000,,1.000000,
vertical_bars,1,1,0.0625,edge,laplacian_variance,14843.258331,0.942534,0.942561,0.770245,0.080980,0.080980,1.000000,1.000000
vertical_bars,1,1,0.0625,edge,tenengrad_energy,244319.861328,0.969631,0.969218,0.876873,0.507493,0.507493,1.000000,1.000000
vertical_bars,1,1,0.0625,center,laplacian_variance,14773.653198,0.938114,0.943791,0.775163,0.100654,0.100654,1.000000,1.000000
vertical_bars,1,1,0.0625,center,tenengrad_energy,243767.769043,0.967440,0.969630,0.878521,0.514086,0.514086,1.000000,1.000000
vertical_bars,1,4,0.2500,edge,laplacian_variance,12031.940948,0.764018,0.772704,0.090817,0.080980,0.090817,1.000000,1.000000
vertical_bars,1,4,0.2500,edge,tenengrad_energy,220439.140625,0.874856,0.877697,0.510789,0.507493,0.510789,1.000000,1.000000
vertical_bars,1,4,0.2500,center,laplacian_variance,11892.600464,0.755170,0.775163,0.100654,0.100654,0.100654,1.000000,1.000000
vertical_bars,1,4,0.2500,center,tenengrad_energy,219332.640137,0.870465,0.878521,0.514086,0.514086,0.514086,1.000000,1.000000
vertical_bars,1,8,0.5000,edge,laplacian_variance,8399.618774,0.533369,0.545408,0.080980,0.080980,0.090817,1.000000,1.000000
vertical_bars,1,8,0.5000,edge,tenengrad_energy,189048.769775,0.750277,0.755395,0.507493,0.507493,0.510789,1.000000,1.000000
vertical_bars,1,8,0.5000,center,laplacian_variance,8441.346924,0.536018,0.545408,0.080980,0.080980,0.090817,1.000000,1.000000
vertical_bars,1,8,0.5000,center,tenengrad_energy,189005.289551,0.750105,0.755395,0.507493,0.507493,0.510789,1.000000,1.000000
vertical_bars,1,16,1.0000,full,laplacian_variance,967.539062,0.061438,0.090817,0.080980,0.080980,0.090817,,1.000000
vertical_bars,1,16,1.0000,full,tenengrad_energy,126212.625000,0.500900,0.510789,0.507493,0.507493,0.510789,,1.000000
vertical_bars,2,1,0.0625,edge,laplacian_variance,14794.041351,0.939409,0.938776,0.755102,0.020409,0.020409,1.000000,1.000000
vertical_bars,2,1,0.0625,edge,tenengrad_energy,240546.024902,0.954654,0.954405,0.817619,0.270475,0.270475,1.000000,1.000000
vertical_bars,2,1,0.0625,center,laplacian_variance,14721.104980,0.934778,0.939390,0.757562,0.030248,0.030248,1.000000,1.000000
vertical_bars,2,1,0.0625,center,tenengrad_energy,239611.089844,0.950944,0.954879,0.819516,0.278064,0.278064,1.000000,1.000000
vertical_bars,2,4,0.2500,edge,laplacian_variance,11831.580414,0.751295,0.756332,0.025328,0.020409,0.025328,1.000000,1.000000
vertical_bars,2,4,0.2500,edge,tenengrad_energy,205091.815918,0.813947,0.818567,0.274270,0.270475,0.274270,1.000000,1.000000
vertical_bars,2,4,0.2500,center,laplacian_variance,11685.487793,0.742019,0.757562,0.030248,0.030248,0.030248,1.000000,1.000000
vertical_bars,2,4,0.2500,center,tenengrad_energy,203213.546875,0.806493,0.819516,0.278064,0.278064,0.278064,1.000000,1.000000
vertical_bars,2,8,0.5000,edge,laplacian_variance,8032.694275,0.510069,0.512664,0.020409,0.020409,0.025328,1.000000,1.000000
vertical_bars,2,8,0.5000,edge,tenengrad_energy,158933.127930,0.630757,0.637135,0.270475,0.270475,0.274270,1.000000,1.000000
vertical_bars,2,8,0.5000,center,laplacian_variance,8105.505737,0.514693,0.512664,0.020409,0.020409,0.025328,1.000000,1.000000
vertical_bars,2,8,0.5000,center,tenengrad_energy,158942.130859,0.630793,0.637135,0.270475,0.270475,0.274270,1.000000,1.000000
vertical_bars,2,16,1.0000,full,laplacian_variance,171.523438,0.010892,0.025328,0.020409,0.020409,0.025328,,1.000000
vertical_bars,2,16,1.0000,full,tenengrad_energy,65876.375000,0.261443,0.274270,0.270475,0.270475,0.274270,,1.000000
vertical_bars,3,1,0.0625,edge,laplacian_variance,14792.713833,0.939325,0.938049,0.752198,0.008790,0.008790,1.000000,1.000000
vertical_bars,3,1,0.0625,edge,tenengrad_energy,238386.135010,0.946082,0.945531,0.782125,0.128501,0.128501,1.000000,1.000000
vertical_bars,3,1,0.0625,center,laplacian_variance,14724.621094,0.935001,0.938312,0.753247,0.012988,0.012988,1.000000,1.000000
vertical_bars,3,1,0.0625,center,tenengrad_energy,237213.835938,0.941430,0.945524,0.782098,0.128390,0.128390,1.000000,1.000000
vertical_bars,3,4,0.2500,edge,laplacian_variance,11817.155228,0.750379,0.752722,0.010889,0.008790,0.010889,1.000000,1.000000
vertical_bars,3,4,0.2500,edge,tenengrad_energy,196167.107666,0.778528,0.782111,0.128446,0.128390,0.128446,1.000000,1.000000
vertical_bars,3,4,0.2500,center,laplacian_variance,11680.468750,0.741700,0.753247,0.012988,0.012988,0.012988,1.000000,1.000000
vertical_bars,3,4,0.2500,center,tenengrad_energy,193805.593750,0.769156,0.782098,0.128390,0.128390,0.128390,1.000000,1.000000
vertical_bars,3,8,0.5000,edge,laplacian_variance,8010.208923,0.508641,0.505445,0.008790,0.008790,0.010889,1.000000,1.000000
vertical_bars,3,8,0.5000,edge,tenengrad_energy,141516.738770,0.561637,0.564223,0.128390,0.128390,0.128446,1.000000,1.000000
