pattern,blur_sigma,quality,chroma_sampling,encoder_path,encoded_sha256,decoded_pixels_equal,pixel_mae,pixel_max_abs_error,changed_pixel_fraction,opencv_decoded_sha256,pillow_decoded_sha256,laplacian_pillow_to_opencv_ratio,tenengrad_pillow_to_opencv_ratio
achromatic_checkerboard,0,75,420,pillow_explicit_dqt,0b40f5cba0413d4af4808ba82d2257ddc9c01ed4496c62a2899357534c68af7e,1,0.000000,0,0.000000,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,1.000000,1.000000
achromatic_checkerboard,0,75,420,pillow_optimized,2ffdc5072f97404b0657bd3ed25a542f47cf99c87942b241471df6197d64040d,1,0.000000,0,0.000000,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,1.000000,1.000000
achromatic_checkerboard,0,95,444,opencv_quality,ef0fa0453f66c59cfe73e3c56a1d2070732fb28ef622838c9026a78b74c8085e,1,0.000000,0,0.000000,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,1.000000,1.000000
achromatic_checkerboard,0,95,444,pillow_quality,ef0fa0453f66c59cfe73e3c56a1d2070732fb28ef622838c9026a78b74c8085e,1,0.000000,0,0.000000,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,1.000000,1.000000
achromatic_checkerboard,0,95,444,pillow_explicit_dqt,ef0fa0453f66c59cfe73e3c56a1d2070732fb28ef622838c9026a78b74c8085e,1,0.000000,0,0.000000,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,1.000000,1.000000
achromatic_checkerboard,0,95,444,pillow_optimized,136362682cc9df80913f3e3a23d0ad74ec2217bf87af598d27cbced9c6b4f81a,1,0.000000,0,0.000000,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,1.000000,1.000000
achromatic_checkerboard,0,95,420,opencv_quality,dfed16313f9b4190743a71c5f8e6e9dc8a27d4b45d023b5d60234139781bc03f,1,0.000000,0,0.000000,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,1.000000,1.000000
achromatic_checkerboard,0,95,420,pillow_quality,dfed16313f9b4190743a71c5f8e6e9dc8a27d4b45d023b5d60234139781bc03f,1,0.000000,0,0.000000,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,1.000000,1.000000
achromatic_checkerboard,0,95,420,pillow_explicit_dqt,dfed16313f9b4190743a71c5f8e6e9dc8a27d4b45d023b5d60234139781bc03f,1,0.000000,0,0.000000,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,1.000000,1.000000
achromatic_checkerboard,0,95,420,pillow_optimized,bcf0d0958e42d4d36371fc5a05cb35f84a8aba79c8ed8784987a08ed82b30ab6,1,0.000000,0,0.000000,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,1.000000,1.000000
