model_id,split,confidence_lower,confidence_upper,sample_count,mean_confidence,empirical_accuracy
bounded_rule,validation,0.5,0.69999999999999996,0,,
bounded_rule,validation,0.69999999999999996,0.84999999999999998,0,,
bounded_rule,validation,0.84999999999999998,1,12,0.90000000000000002,0.66666666666666663
bounded_rule,test,0.5,0.69999999999999996,0,,
bounded_rule,test,0.69999999999999996,0.84999999999999998,0,,
bounded_rule,test,0.84999999999999998,1,8,0.92500000000000004,1
geometry_centroid,validation,0.5,0.69999999999999996,12,0.53571319404695361,0.33333333333333331
geometry_centroid,validation,0.69999999999999996,0.84999999999999998,0,,
geometry_centroid,validation,0.84999999999999998,1,0,,
geometry_centroid,test,0.5,0.69999999999999996,4,0.5157616368670177,0.25
geometry_centroid,test,0.69999999999999996,0.84999999999999998,0,,
geometry_centroid,test,0.84999999999999998,1,4,0.99923027143365661,0
graph_centroid,validation,0.5,0.69999999999999996,4,0.57310336682751306,1
graph_centroid,validation,0.69999999999999996,0.84999999999999998,4,0.8008814990962746,0
graph_centroid,validation,0.84999999999999998,1,4,0.99545251492306464,1
graph_centroid,test,0.5,0.69999999999999996,4,0.6450966135165056,1
graph_centroid,test,0.69999999999999996,0.84999999999999998,0,,
graph_centroid,test,0.84999999999999998,1,4,0.99980037552559164,1
tabular_centroid,validation,0.5,0.69999999999999996,4,0.63378542211771516,1
tabular_centroid,validation,0.69999999999999996,0.84999999999999998,0,,
tabular_centroid,validation,0.84999999999999998,1,8,0.93447986122302318,0.5
tabular_centroid,test,0.5,0.69999999999999996,0,,
tabular_centroid,test,0.69999999999999996,0.84999999999999998,4,0.7429617388537868,1
tabular_centroid,test,0.84999999999999998,1,4,0.99888136334365774,1
