adapter,wrapper,wrapper_version,jpeg_backend,roles
opencv,OpenCV,4.13.0,build-libjpeg-turbo (ver 3.1.2-70),quality encoder; decoder; DQT source
pillow,Pillow,12.3.0,libjpeg-turbo 3.1.4.1,quality encoder; explicit-DQT encoder; optimized encoder; decoder
