stage,control_id,face_index,surface_type,area,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z,u_span,v_span,axis_origin,axis_direction,radius,radial_polarity,maximum_absolute_curvature,wire_count,inner_wire_count,edge_count,maximum_edge_length,adjacent_face_indices
step_imported,blind_hole,8,plane,3.1415926535897918,4,4,2.5,0,0,1,2,2,,,,,0,1,0,1,6.2831853071795862,7
constructed,stepped_block,1,plane,96,6,4,0,0,0,-1,12,8,,,,,0,1,0,4,12,2|6|7|8
constructed,stepped_block,2,plane,24,12,4,1.5,1,0,-0,3,8,,,,,0,1,0,4,8,1|3|7|8
constructed,stepped_block,3,plane,55.999999999999986,8.5,4,2.9999999999999996,0,0,1,7,8,,,,,0,1,0,4,8,2|4|7|8
constructed,stepped_block,4,plane,16,5,4,4,1,0,-0,2,8,,,,,0,1,0,4,8,3|5|7|8
constructed,stepped_block,5,plane,39.999999999999993,2.5,4,5,0,0,1,5,8,,,,,0,1,0,4,8,4|6|7|8
constructed,stepped_block,6,plane,39.999999999999993,0,4,2.5,-1,0,0,5,8,,,,,0,1,0,4,8,1|5|7|8
constructed,stepped_block,7,plane,45.999999999999986,5.2391304347826084,0,2.043478260869565,0,-1,-0,5,12,,,,,0,1,0,6,12,1|2|3|4|5|6
constructed,stepped_block,8,plane,45.999999999999986,5.2391304347826084,8,2.043478260869565,-0,1,0,5,12,,,,,0,1,0,6,12,1|2|3|4|5|6
step_imported,stepped_block,1,plane,96,6,4,0,0,0,-1,12,8,,,,,0,1,0,4,12,2|6|7|8
step_imported,stepped_block,2,plane,24,12,4,1.5,1,0,-0,3,8,,,,,0,1,0,4,8,1|3|7|8
step_imported,stepped_block,3,plane,55.999999999999986,8.5,4,2.9999999999999996,0,0,1,7,8,,,,,0,1,0,4,8,2|4|7|8
step_imported,stepped_block,4,plane,16,5,4,4,1,0,-0,2,8,,,,,0,1,0,4,8,3|5|7|8
step_imported,stepped_block,5,plane,39.999999999999993,2.5,4,5,0,0,1,5,8,,,,,0,1,0,4,8,4|6|7|8
step_imported,stepped_block,6,plane,39.999999999999993,0,4,2.5,-1,0,0,5,8,,,,,0,1,0,4,8,1|5|7|8
step_imported,stepped_block,7,plane,45.999999999999986,5.2391304347826084,0,2.043478260869565,0,-1,-0,5,12,,,,,0,1,0,6,12,1|2|3|4|5|6
step_imported,stepped_block,8,plane,45.999999999999986,5.2391304347826084,8,2.043478260869565,-0,1,0,5,12,,,,,0,1,0,6,12,1|2|3|4|5|6
constructed,through_slot,1,plane,40,0,5,2,-1,-0,0,4,10,,,,,0,1,0,4,10,2|3|4|5
constructed,through_slot,2,plane,56,7,0,2,0,-1,-0,4,14,,,,,0,1,0,4,14,1|3|5|6
constructed,through_slot,3,plane,128.85840734641019,7,5,4,0,0,1,14,10,,,,,0,2,1,8,14,1|2|4|6|7|8|9|10
constructed,through_slot,4,plane,56,7,10,2,-0,1,0,4,14,,,,,0,1,0,4,14,1|3|5|6
constructed,through_slot,5,plane,128.85840734641019,7,5,0,-0,-0,-1,14,10,,,,,0,2,1,8,14,1|2|4|6|7|8|9|10
constructed,through_slot,6,plane,40,14,5,2,1,0,-0,4,10,,,,,0,1,0,4,10,2|3|4|5
constructed,through_slot,7,cylinder,12.566370614359172,9.636619772367581,5,2,-1,6.123233995736766e-17,0,3.1415926535897931,4,9.0|5.0|-1.0,-0.0|-0.0|-1.0,1,-1,1,1,0,4,4,3|5|8|10
constructed,through_slot,8,plane,16,7,6,2,0,-1,0,4,4,,,,,0,1,0,4,4,3|5|7|9
constructed,through_slot,9,cylinder,12.566370614359172,4.363380227632419,5,2,1,-6.123233995736766e-17,-0,3.1415926535897931,4,5.0|5.0|-1.0,-0.0|0.0|-1.0,1,-1,1,1,0,4,4,3|5|8|10
constructed,through_slot,10,plane,16,7,4,2,-0,1,0,4,4,,,,,0,1,0,4,4,3|5|7|9
step_imported,through_slot,1,plane,40,0,5,2,-1,-0,0,4,10,,,,,0,1,0,4,10,2|3|4|5
step_imported,through_slot,2,plane,56,7,0,2,0,-1,-0,4,14,,,,,0,1,0,4,14,1|3|5|6
