platform_label,fixture_id,fixture_family,mutation,decoder,strict_audit_accept,decode_success,shape_contract,dtype_contract,exact_to_decoder_control,mean_absolute_error,maximum_absolute_error,changed_pixel_fraction,control_bgr_sha256,output_bgr_sha256,error_category,diagnostic_sha256
linux-x64-reference,app1_unknown_valid,unknown_app,well_framed_non_exif_app1,ffmpeg,1,1,1,1,1,0.000000000,0,0.000000000,21947685aab60f5f3168b122a9d28d435a073083c03aa420fa9e9b8d191ce5ce,21947685aab60f5f3168b122a9d28d435a073083c03aa420fa9e9b8d191ce5ce,none,
linux-x64-reference,exif_conflicting_orientation,malformed_exif,duplicate_orientation_3_and_6,opencv,0,1,1,1,1,0.000000000,0,0.000000000,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,none,
linux-x64-reference,exif_conflicting_orientation,malformed_exif,duplicate_orientation_3_and_6,pillow,0,1,1,1,1,0.000000000,0,0.000000000,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,none,
linux-x64-reference,exif_conflicting_orientation,malformed_exif,duplicate_orientation_3_and_6,ffmpeg,0,1,1,1,1,0.000000000,0,0.000000000,21947685aab60f5f3168b122a9d28d435a073083c03aa420fa9e9b8d191ce5ce,21947685aab60f5f3168b122a9d28d435a073083c03aa420fa9e9b8d191ce5ce,none,
linux-x64-reference,exif_ifd_offset_oob,malformed_exif,ifd_offset_out_of_bounds,opencv,0,1,1,1,1,0.000000000,0,0.000000000,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,none,
linux-x64-reference,exif_ifd_offset_oob,malformed_exif,ifd_offset_out_of_bounds,pillow,0,1,1,1,1,0.000000000,0,0.000000000,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,none,
linux-x64-reference,exif_ifd_offset_oob,malformed_exif,ifd_offset_out_of_bounds,ffmpeg,0,1,1,1,1,0.000000000,0,0.000000000,21947685aab60f5f3168b122a9d28d435a073083c03aa420fa9e9b8d191ce5ce,21947685aab60f5f3168b122a9d28d435a073083c03aa420fa9e9b8d191ce5ce,none,
linux-x64-reference,exif_invalid_byte_order,malformed_exif,invalid_tiff_byte_order,opencv,0,1,1,1,1,0.000000000,0,0.000000000,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,none,
linux-x64-reference,exif_invalid_byte_order,malformed_exif,invalid_tiff_byte_order,pillow,0,1,1,1,1,0.000000000,0,0.000000000,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,none,
linux-x64-reference,exif_invalid_byte_order,malformed_exif,invalid_tiff_byte_order,ffmpeg,0,1,1,1,1,0.000000000,0,0.000000000,21947685aab60f5f3168b122a9d28d435a073083c03aa420fa9e9b8d191ce5ce,21947685aab60f5f3168b122a9d28d435a073083c03aa420fa9e9b8d191ce5ce,none,
linux-x64-reference,exif_orientation_6_valid,valid_exif,orientation_6,opencv,1,1,1,1,1,0.000000000,0,0.000000000,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,none,
linux-x64-reference,exif_orientation_6_valid,valid_exif,orientation_6,pillow,1,1,1,1,1,0.000000000,0,0.000000000,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,none,
