stage,control_id,face_index,truth_role,surface_type,area,centroid_x,centroid_y,centroid_z,support_direction,support_offset,cylinder_radius,wire_count,edge_count,adjacency_degree,edge_length_signature
constructed,coincident_faces,1,coincident,plane,6,1.5,1,0,0.0|0.0|1.0,0,,1,4,0,2|2|3|3
constructed,coincident_faces,2,coincident,plane,6,1.5,1,0,0.0|0.0|1.0,0,,1,4,0,2|2|3|3
step_imported,coincident_faces,1,coincident,plane,6,1.5,1,0,0.0|0.0|1.0,0,,1,4,0,2|2|3|3
step_imported,coincident_faces,2,coincident,plane,6,1.5,1,0,0.0|0.0|1.0,0,,1,4,0,2|2|3|3
healed,split_box,1,x_min,plane,18,0,3,1.5,1.0|0.0|-0.0,0,,1,4,4,3|3|6|6
healed,split_box,2,z_max,plane,59.999999999999986,5,2.9999999999999996,2.9999999999999996,0.0|0.0|1.0,3,,1,4,4,6|6|10|10
healed,split_box,3,x_max,plane,18,10,3,1.5,1.0|0.0|-0.0,10,,1,4,4,3|3|6|6
healed,split_box,4,y_max,plane,30,5,6,1.5,-0.0|1.0|0.0,6,,1,4,4,3|3|10|10
healed,split_box,5,z_min,plane,59.999999999999986,5,2.9999999999999996,0,0.0|0.0|1.0,0,,1,4,4,6|6|10|10
healed,split_box,6,y_min,plane,30,5,0,1.5,-0.0|1.0|0.0,0,,1,4,4,3|3|10|10
