platform_label,observation_id,control_id,stage,entity_type,analysis_local_index,tolerance
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,face,5,9.9999999999999995e-08
linux-x64-reference,coincident_box_faces__constructed,coincident_box_faces,constructed,face,6,9.9999999999999995e-08
linux-x64-reference,coincident_box_faces__sewn_tol_1e_7,coincident_box_faces,sewn,vertex,1,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__sewn_tol_1e_7,coincident_box_faces,sewn,vertex,2,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__sewn_tol_1e_7,coincident_box_faces,sewn,vertex,3,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__sewn_tol_1e_7,coincident_box_faces,sewn,vertex,4,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__sewn_tol_1e_7,coincident_box_faces,sewn,vertex,5,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__sewn_tol_1e_7,coincident_box_faces,sewn,vertex,6,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__sewn_tol_1e_7,coincident_box_faces,sewn,vertex,7,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__sewn_tol_1e_7,coincident_box_faces,sewn,vertex,8,1.0000000000000002e-07
linux-x64-reference,coincident_box_faces__sewn_tol_1e_7,coincident_box_faces,sewn,edge,1,9.9999999999999995e-08
linux-x64-reference,coincident_box_faces__sewn_tol_1e_7,coincident_box_faces,sewn,edge,2,9.9999999999999995e-08
linux-x64-reference,coincident_box_faces__sewn_tol_1e_7,coincident_box_faces,sewn,edge,3,9.9999999999999995e-08
linux-x64-reference,coincident_box_faces__sewn_tol_1e_7,coincident_box_faces,sewn,edge,4,9.9999999999999995e-08
linux-x64-reference,coincident_box_faces__sewn_tol_1e_7,coincident_box_faces,sewn,edge,5,9.9999999999999995e-08
linux-x64-reference,coincident_box_faces__sewn_tol_1e_7,coincident_box_faces,sewn,edge,6,9.9999999999999995e-08
linux-x64-reference,coincident_box_faces__sewn_tol_1e_7,coincident_box_faces,sewn,edge,7,9.9999999999999995e-08
