platform_label,stage,control_id,outer_shell_index,inner_shell_index,same_parent_solid,inner_witness_state,common_volume,inner_volume,full_inner_volume_covered,contains
linux-x64-reference,constructed,centered_void_box,1,2,1,in,15.999999999999996,15.999999999999996,1,1
linux-x64-reference,constructed,centered_void_box,2,1,1,out,15.999999999999996,480,0,0
linux-x64-reference,step_imported,centered_void_box,1,2,1,in,15.999999999999996,15.999999999999996,1,1
linux-x64-reference,step_imported,centered_void_box,2,1,1,out,15.999999999999996,480,0,0
linux-x64-reference,constructed,two_void_box,1,2,1,in,7.9999999999999982,7.9999999999999982,1,1
linux-x64-reference,constructed,two_void_box,1,3,1,in,7.9999999999999982,7.9999999999999982,1,1
linux-x64-reference,constructed,two_void_box,2,1,1,out,7.9999999999999982,576,0,0
linux-x64-reference,constructed,two_void_box,2,3,1,out,0,7.9999999999999982,0,0
linux-x64-reference,constructed,two_void_box,3,1,1,out,7.9999999999999982,576,0,0
linux-x64-reference,constructed,two_void_box,3,2,1,out,0,7.9999999999999982,0,0
linux-x64-reference,step_imported,two_void_box,1,2,1,in,7.9999999999999982,7.9999999999999982,1,1
linux-x64-reference,step_imported,two_void_box,1,3,1,in,7.9999999999999982,7.9999999999999982,1,1
linux-x64-reference,step_imported,two_void_box,2,1,1,out,7.9999999999999982,576,0,0
linux-x64-reference,step_imported,two_void_box,2,3,1,out,0,7.9999999999999982,0,0
linux-x64-reference,step_imported,two_void_box,3,1,1,out,7.9999999999999982,576,0,0
linux-x64-reference,step_imported,two_void_box,3,2,1,out,0,7.9999999999999982,0,0
linux-x64-reference,constructed,wrong_void_orientation,1,2,1,in,15.999999999999996,15.999999999999996,1,1
linux-x64-reference,constructed,wrong_void_orientation,2,1,1,out,15.999999999999996,480,0,0
linux-x64-reference,step_imported,wrong_void_orientation,1,2,1,in,15.999999999999996,15.999999999999996,1,1
linux-x64-reference,step_imported,wrong_void_orientation,2,1,1,out,15.999999999999996,480,0,0
linux-x64-reference,constructed,outside_void_shell,1,2,1,out,0,15.999999999999996,0,0
linux-x64-reference,constructed,outside_void_shell,2,1,1,out,0,480,0,0
linux-x64-reference,step_imported,outside_void_shell,1,2,0,out,0,15.999999999999996,0,0
linux-x64-reference,step_imported,outside_void_shell,2,1,0,out,0,480,0,0
linux-x64-reference,constructed,overlapping_void_shells,1,2,1,in,27,27,1,1
linux-x64-reference,constructed,overlapping_void_shells,1,3,1,in,27,27,1,1
linux-x64-reference,constructed,overlapping_void_shells,2,1,1,out,27,576,0,0
linux-x64-reference,constructed,overlapping_void_shells,2,3,1,in,9,27,0,0
linux-x64-reference,constructed,overlapping_void_shells,3,1,1,out,27,576,0,0
linux-x64-reference,constructed,overlapping_void_shells,3,2,1,out,9,27,0,0
linux-x64-reference,step_imported,overlapping_void_shells,1,2,1,in,27,27,1,1
linux-x64-reference,step_imported,overlapping_void_shells,1,3,1,in,27,27,1,1
linux-x64-reference,step_imported,overlapping_void_shells,2,1,1,out,27,576,0,0
linux-x64-reference,step_imported,overlapping_void_shells,2,3,1,in,9,27,0,0
linux-x64-reference,step_imported,overlapping_void_shells,3,1,1,out,27,576,0,0
linux-x64-reference,step_imported,overlapping_void_shells,3,2,1,out,9,27,0,0
linux-x64-reference,constructed,material_island_compound,1,2,1,in,96,96,1,1
linux-x64-reference,constructed,material_island_compound,1,3,0,in,7.9999999999999982,7.9999999999999982,1,1
linux-x64-reference,constructed,material_island_compound,2,1,1,out,96,480,0,0
linux-x64-reference,constructed,material_island_compound,2,3,0,in,7.9999999999999982,7.9999999999999982,1,1
linux-x64-reference,constructed,material_island_compound,3,1,0,out,7.9999999999999982,480,0,0
linux-x64-reference,constructed,material_island_compound,3,2,0,out,7.9999999999999982,96,0,0
linux-x64-reference,step_imported,material_island_compound,1,2,1,in,96,96,1,1
linux-x64-reference,step_imported,material_island_compound,1,3,0,in,7.9999999999999982,7.9999999999999982,1,1
linux-x64-reference,step_imported,material_island_compound,2,1,1,out,96,480,0,0
linux-x64-reference,step_imported,material_island_compound,2,3,0,in,7.9999999999999982,7.9999999999999982,1,1
linux-x64-reference,step_imported,material_island_compound,3,1,0,out,7.9999999999999982,480,0,0
linux-x64-reference,step_imported,material_island_compound,3,2,0,out,7.9999999999999982,96,0,0
linux-x64-reference,constructed,shared_face_compsolid,1,2,0,out,0,31.999999999999993,0,0
linux-x64-reference,constructed,shared_face_compsolid,2,1,0,out,0,31.999999999999993,0,0
linux-x64-reference,step_imported,shared_face_compsolid,1,2,0,out,0,31.999999999999993,0,0
linux-x64-reference,step_imported,shared_face_compsolid,2,1,0,out,0,31.999999999999993,0,0
linux-x64-reference,constructed,disconnected_compsolid,1,2,0,out,0,31.999999999999993,0,0
linux-x64-reference,constructed,disconnected_compsolid,2,1,0,out,0,31.999999999999993,0,0
linux-x64-reference,step_imported,disconnected_compsolid,1,2,0,out,0,31.999999999999993,0,0
linux-x64-reference,step_imported,disconnected_compsolid,2,1,0,out,0,31.999999999999993,0,0
linux-x64-reference,constructed,disjoint_compound,1,2,0,out,0,31.999999999999993,0,0
linux-x64-reference,constructed,disjoint_compound,2,1,0,out,0,31.999999999999993,0,0
linux-x64-reference,step_imported,disjoint_compound,1,2,0,out,0,31.999999999999993,0,0
linux-x64-reference,step_imported,disjoint_compound,2,1,0,out,0,31.999999999999993,0,0
