contract_version,control_id,stage,source_file,source_sha256,node_count,relation_count,connected_component_count,boundary_edge_count,seam_edge_count,nonmanifold_edge_count,minimum_degree,maximum_degree,mean_degree,surface_histogram,degree_histogram,relation_histogram,structural_signature_sha256,curved_area_ratio,vertex_count,edge_count,face_count,shell_count,solid_count,absolute_volume,surface_area,analyzer_valid,topology_provenance,geometry_provenance,exchange_provenance
1.0.0,plain_block,constructed,,,6,12,1,0,0,0,4,4,4,plane:6,4:6,plane--plane/line:12,fd85e59695252d429b4cdb05986d5a59990995c97aab8fd4fc2743a4d1c3384e,0,8,12,6,1,1,576,432,1,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,plain_block,step_imported,graph_plain_block.step,1e7a3ecda9402ee740bf40fbae47a384f4c8bbf6dd5a131bc8f2b06b1bcea0e3,6,12,1,0,0,0,4,4,4,plane:6,4:6,plane--plane/line:12,fd85e59695252d429b4cdb05986d5a59990995c97aab8fd4fc2743a4d1c3384e,0,8,12,6,1,1,576,432,1,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,through_hole,constructed,,,7,14,1,0,1,0,2,5,4,cylinder:1|plane:6,2:1|4:4|5:2,cylinder--plane/circle:2|plane--plane/line:12,117789f8c20e41f902b18e53d9093285f0f71179c16bd02daaede857f6260a14,0.10041177474343885,10,15,7,1,1,546.54756887259566,469.30641276137879,1,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,7,14,1,0,1,0,2,5,4,cylinder:1|plane:6,2:1|4:4|5:2,cylinder--plane/circle:2|plane--plane/line:12,117789f8c20e41f902b18e53d9093285f0f71179c16bd02daaede857f6260a14,0.10041177474344479,10,15,7,1,1,546.54756887259634,469.30641276138192,1,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,constructed,,,8,18,1,0,0,0,4,6,4.5,plane:8,4:6|6:2,plane--plane/line:18,e7b1d4a22a7b713f5be1c3d2f5aa674efe5ff34d6df0cddb0aea71e70012a82e,0,12,18,8,1,1,368,364,1,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,8,18,1,0,0,0,4,6,4.5,plane:8,4:6|6:2,plane--plane/line:18,e7b1d4a22a7b713f5be1c3d2f5aa674efe5ff34d6df0cddb0aea71e70012a82e,0,12,18,8,1,1,368,364,1,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,fillet_operation,constructed,,,7,15,1,0,0,0,4,5,4.2857142857142856,cylinder:1|plane:6,4:5|5:2,cylinder--plane/circle:2|cylinder--plane/line:2|plane--plane/line:11,f62d823d9df57d9801b28a40314375b23a03f32830f8c19fd979bebd6013bc21,0.029351272406785405,10,15,7,1,1,574.28318530717956,428.13716694115408,1,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,step_imported,graph_fillet_operation.step,c10fee8a84fc0205bc5afd8dfbb089f8f41d0e2c1fe6e19cb2b29020729b5758,7,15,1,0,0,0,4,5,4.2857142857142856,cylinder:1|plane:6,4:5|5:2,cylinder--plane/circle:2|cylinder--plane/line:2|plane--plane/line:11,f62d823d9df57d9801b28a40314375b23a03f32830f8c19fd979bebd6013bc21,0.029351272406787268,10,15,7,1,1,574.28318530718025,428.13716694115487,1,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
