pattern,placement,region_top,region_left,region_size,blur_sigma,configuration,window_size,stride,window_row,window_column,row_start,column_start,coverage_fraction,is_positive,laplacian_variance_reference,laplacian_variance_observed,laplacian_variance_ratio,tenengrad_energy_reference,tenengrad_energy_observed,tenengrad_energy_ratio
checkerboard,aligned,64,64,64,1,overlap_64,64,32,3,2,96,64,0.500000,1,34671.533203,18108.136719,0.522277,380497.851562,268765.844727,0.706353
checkerboard,aligned,64,64,64,1,overlap_64,64,32,3,3,96,96,0.250000,0,34671.533203,26130.703613,0.753664,380497.851562,324431.261230,0.852649
checkerboard,aligned,64,64,64,1,overlap_64,64,32,3,4,96,128,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,3,5,96,160,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,3,6,96,192,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,4,0,128,0,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,4,1,128,32,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,4,2,128,64,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,4,3,128,96,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,4,4,128,128,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,4,5,128,160,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,4,6,128,192,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,5,0,160,0,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,5,1,160,32,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,5,2,160,64,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,5,3,160,96,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,5,4,160,128,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,5,5,160,160,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,5,6,160,192,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,6,0,192,0,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,6,1,192,32,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,6,2,192,64,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,6,3,192,96,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,6,4,192,128,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,6,5,192,160,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,overlap_64,64,32,6,6,192,192,0.000000,0,34671.533203,34671.533203,1.000000,380497.851562,380497.851562,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,0,0,0,0,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
