pipeline,pipeline_description,noise_std,metric,calibration_source,anchor_observations,balanced_accuracy,sharp_false_blur_count,sharp_false_blur_rate,blurred_miss_count,blurred_miss_rate,adjacent_pair_count,adjacent_order_violation_count,adjacent_order_violation_rate,sequence_count,fully_ordered_sequence_rate
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",5,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",15,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
resize_area_linear,"0.5x INTER_AREA down, INTER_LINEAR up",15,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.833333,10,0.333333,0,0.000000,90,0,0.000000,30,1.000000
resize_linear_linear,0.5x INTER_LINEAR down and up,0,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
resize_linear_linear,0.5x INTER_LINEAR down and up,0,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
resize_linear_linear,0.5x INTER_LINEAR down and up,5,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
resize_linear_linear,0.5x INTER_LINEAR down and up,5,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
resize_linear_linear,0.5x INTER_LINEAR down and up,15,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
resize_linear_linear,0.5x INTER_LINEAR down and up,15,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.833333,10,0.333333,0,0.000000,90,0,0.000000,30,1.000000
gaussian_denoise,Gaussian low-pass sigma 1,0,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
gaussian_denoise,Gaussian low-pass sigma 1,0,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
gaussian_denoise,Gaussian low-pass sigma 1,5,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
gaussian_denoise,Gaussian low-pass sigma 1,5,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
gaussian_denoise,Gaussian low-pass sigma 1,15,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
gaussian_denoise,Gaussian low-pass sigma 1,15,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.500000,30,1.000000,0,0.000000,90,0,0.000000,30,1.000000
unsharp_0_5,"Unsharp amount 0.5, sigma 1",0,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
unsharp_0_5,"Unsharp amount 0.5, sigma 1",0,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
unsharp_0_5,"Unsharp amount 0.5, sigma 1",5,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
unsharp_0_5,"Unsharp amount 0.5, sigma 1",5,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
unsharp_0_5,"Unsharp amount 0.5, sigma 1",15,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,0.833333,0,0.000000,10,0.333333,90,40,0.444444,30,0.333333
unsharp_0_5,"Unsharp amount 0.5, sigma 1",15,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
unsharp_1_0,"Unsharp amount 1.0, sigma 1",0,laplacian_variance,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
unsharp_1_0,"Unsharp amount 1.0, sigma 1",0,tenengrad_energy,per-pattern identity noise-0 sigma-0/sigma-3 midpoint,60,1.000000,0,0.000000,0,0.000000,90,0,0.000000,30,1.000000
