pipeline,pipeline_description,noise_std,blur_sigma,metric,observations,same_input_ratio_mean,same_input_ratio_sample_std,same_input_ratio_p10,same_input_ratio_median,same_input_ratio_p90,sharp_anchor_ratio_mean,sharp_anchor_ratio_sample_std,zero_fraction_mean,full_scale_fraction_mean
brightness_minus_30,Grayscale linear transform with beta -30,5,0,tenengrad_energy,30,0.997966,0.002925,0.993875,1.000000,1.000000,1.057194,0.075236,0.054513,0.000000
brightness_minus_30,Grayscale linear transform with beta -30,5,1,laplacian_variance,30,0.998250,0.002523,0.994650,1.000000,1.000000,0.414474,0.418512,0.011429,0.000000
brightness_minus_30,Grayscale linear transform with beta -30,5,1,tenengrad_energy,30,0.999634,0.000526,0.998889,1.000000,1.000000,0.534361,0.111812,0.011429,0.000000
brightness_minus_30,Grayscale linear transform with beta -30,5,2,laplacian_variance,30,0.999984,0.000036,0.999942,1.000000,1.000000,0.375205,0.430429,0.000030,0.000000
brightness_minus_30,Grayscale linear transform with beta -30,5,2,tenengrad_energy,30,1.000000,0.000001,0.999999,1.000000,1.000000,0.286796,0.129691,0.000030,0.000000
brightness_minus_30,Grayscale linear transform with beta -30,5,3,laplacian_variance,30,0.999998,0.000013,1.000000,1.000000,1.000000,0.370264,0.431671,0.000002,0.000000
brightness_minus_30,Grayscale linear transform with beta -30,5,3,tenengrad_energy,30,1.000000,0.000001,1.000000,1.000000,1.000000,0.173724,0.134920,0.000002,0.000000
brightness_minus_30,Grayscale linear transform with beta -30,15,0,laplacian_variance,30,0.982838,0.024676,0.948020,0.999978,1.000000,4.196814,3.798402,0.073204,0.000000
brightness_minus_30,Grayscale linear transform with beta -30,15,0,tenengrad_energy,30,0.988854,0.016029,0.966423,0.999996,1.000000,1.479868,0.644428,0.073204,0.000000
brightness_minus_30,Grayscale linear transform with beta -30,15,1,laplacian_variance,30,0.982992,0.024458,0.948186,0.999988,1.000000,3.276378,3.783313,0.022435,0.000000
brightness_minus_30,Grayscale linear transform with beta -30,15,1,tenengrad_energy,30,0.996306,0.005311,0.988895,0.999996,1.000000,0.970781,0.677859,0.022435,0.000000
brightness_minus_30,Grayscale linear transform with beta -30,15,2,laplacian_variance,30,0.999184,0.001202,0.997318,1.000000,1.000000,3.242281,3.791415,0.000603,0.000000
brightness_minus_30,Grayscale linear transform with beta -30,15,2,tenengrad_energy,30,0.999837,0.000239,0.999460,1.000000,1.000000,0.729528,0.697660,0.000603,0.000000
brightness_minus_30,Grayscale linear transform with beta -30,15,3,laplacian_variance,30,0.999974,0.000047,0.999901,1.000000,1.000000,3.259298,3.820962,0.000021,0.000000
brightness_minus_30,Grayscale linear transform with beta -30,15,3,tenengrad_energy,30,0.999990,0.000017,0.999962,1.000000,1.000000,0.620270,0.712342,0.000021,0.000000
brightness_plus_30,Grayscale linear transform with beta +30,0,0,laplacian_variance,30,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
brightness_plus_30,Grayscale linear transform with beta +30,0,0,tenengrad_energy,30,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
