control_id,mesh_condition,requested_linear_deflection,requested_angular_deflection_radians,face_count,source_mapped_face_count,face_local_node_reference_count,triangle_count,degenerate_triangle_count,exact_surface_area,mesh_surface_area,signed_area_difference,absolute_area_difference,relative_area_difference,maximum_sampled_surface_deviation,mean_sampled_surface_deviation
meshing_through_hole,coarse_both,0.80000000000000004,0.69999999999999996,7,7,98,88,0,469.30641276138192,469.26569143903674,-0.040721322345177668,0.040721322345177668,8.6769158140360543e-05,0.01687868664140884,0.0069049172623917802
meshing_through_hole,fine_angular,0.80000000000000004,0.25,7,7,230,220,0,469.30641276138192,469.30143253012187,-0.004980231260049095,0.004980231260049095,1.0611896885758699e-05,0.0021073878318863216,0.00097706163114578558
meshing_through_hole,fine_linear,0.050000000000000003,0.69999999999999996,7,7,98,88,0,469.30641276138192,469.26569143903674,-0.040721322345177668,0.040721322345177668,8.6769158140360543e-05,0.01687868664140884,0.0069049172623917828
meshing_through_hole,fine_both,0.050000000000000003,0.25,7,7,230,220,0,469.30641276138192,469.30143253012187,-0.004980231260049095,0.004980231260049095,1.0611896885758699e-05,0.0021073878318863216,0.00097706163114578558
meshing_sphere,coarse_both,0.80000000000000004,0.69999999999999996,1,1,95,168,2,50.26548245743669,48.193293431703331,-2.0721890257333584,2.0721890257333584,0.041224890808280339,0.57772581946270618,0.10733783558583507
meshing_sphere,fine_angular,0.80000000000000004,0.25,1,1,658,1260,2,50.26548245743669,49.966373380334929,-0.29910907710176105,0.29910907710176105,0.0059505860180500145,0.23151959213496667,0.016138041356522279
meshing_sphere,fine_linear,0.050000000000000003,0.69999999999999996,1,1,223,422,2,50.26548245743669,49.390287257926943,-0.87519519950974711,0.87519519950974711,0.017411455271534225,0.37545026334631471,0.045023320117893749
meshing_sphere,fine_both,0.050000000000000003,0.25,1,1,658,1260,2,50.26548245743669,49.966373380334929,-0.29910907710176105,0.29910907710176105,0.0059505860180500145,0.23151959213496667,0.016138041356522279
meshing_bspline_shell,coarse_both,0.80000000000000004,0.69999999999999996,1,1,8,10,0,9.5815777795114592,9.6527062801291255,0.07112850061766629,0.07112850061766629,0.007423464303526528,0.050000000000000017,0.029999999999999961
meshing_bspline_shell,fine_angular,0.80000000000000004,0.25,1,1,8,10,0,9.5815777795114592,9.6527062801291255,0.07112850061766629,0.07112850061766629,0.007423464303526528,0.050000000000000017,0.029999999999999961
meshing_bspline_shell,fine_linear,0.050000000000000003,0.69999999999999996,1,1,12,18,0,9.5815777795114592,9.6170493225936582,0.03547154308219902,0.03547154308219902,0.0037020565817509469,0.025000000000000022,0.014814814814814833
meshing_bspline_shell,fine_both,0.050000000000000003,0.25,1,1,12,18,0,9.5815777795114592,9.6170493225936582,0.03547154308219902,0.03547154308219902,0.0037020565817509469,0.025000000000000022,0.014814814814814833
