control_id,file_name,source_bytes,source_sha256,generator,binding_distribution_version,step_processor,writer_status,reader_status,transferred_roots
extruded_rectangle_h5,extruded_rectangle_h5.step,15404,730761b8d9de6357b37e67aa38090e03fc655f091a9c4fc49a3cda02b90cab23,experiments/run_profile_modeling.py,7.9.3.1.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1
extruded_rectangle_h7,extruded_rectangle_h7.step,15404,23efa1738f5ee28d5c59609c5e0306352849b7d7e7b0d2d031a7c8deedde8b22,experiments/run_profile_modeling.py,7.9.3.1.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1
extruded_annulus,extruded_annulus.step,9407,dd2e7fc423925ab7cf855b20cba4c754ff22c26845dd02260772e27cd47a1ac9,experiments/run_profile_modeling.py,7.9.3.1.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1
revolved_annulus_full,revolved_annulus_full.step,9198,92910c553a4637c4343b6a488e572fb4fa17215a0adfe4723eee945caa334534,experiments/run_profile_modeling.py,7.9.3.1.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1
revolved_annulus_half,revolved_annulus_half.step,16004,0397236af0a8a7cd76819aaa63c13e96e39e56415b8ebd492b3c64b09d97bb0a,experiments/run_profile_modeling.py,7.9.3.1.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1
